,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
13,2023-07-30,大変良心的で、人間味のある会社,4.0,良かった点今回の引越しが台風2号による床上浸水の報告結果が出て、退去命令を受けてから2週間しか猶予がありませんでした。車も水没して、買い替えをするなど大変な出費が重なり、そのすぐ後の退去…地元の業者に見積りを依頼しましたが、余談は全く無く規定見積りをして値引き、希望価格など一切の会話もなく帰られました。1番の決めては価格ですが、地元でもないのに、他人事ととらえず、最大限の価格を提示してくれました。理由を親身になってくれて、価格面で想像以上に頑張ってくれたので、人柄が会社にも反映されていると思い決めました。大変な猛暑の中、作業終了まで手を止めず頑張ってくれました。悪かった点作業終了後、自分がすぐに確認して、お伝えしなければいけませんでしたが、帰られてから気付いたので…冷蔵庫に２箇所キズがありました。搬入時についた記憶があるかどうか、直接　聞く事が出来ませんでした。,愛知,愛知,いつでも,4,4,4,4,7,7,15,5
10,2023-07-26,希望日に引越し出来るように対応良かったと思います。,4.5,作業する方達のチームワークとても良かったと思います。暑い時期の引越しとても大変だったと思うのに笑顔で対応ありがとうございました。見積もりの営業の方にひと言、エアコン取り外し取り付け工事の件ですが、取り付け工事に三台取り付けして貰う予定だったんですが一台は諦めました。工事料金が、めちゃくちゃ高価かった為、説明不足じゃないのかなぁと思いました。少し残念な気持ちでした。,愛知,愛知,いつでも,4,4,5,5,3,5,20,8
14,2023-07-21,社内教育がきちんとされている社員が来てくれる。,4.0,良かった点コールセンターの対応が良い。営業マンもこちらの日時に対応してくださった。こちらの要望を真剣にきいてくださった。営業マンも現場経験者だったので、詳しく説明してくれて信頼を持てたのでこちらの引越し業者に決めました。ダンボール小25箱、大25箱と、ガムテープ３本無料でいただき、引越し前に荷造りができました。金額が安くなる日時を教えてくれて、少しでも安く見積もってくれた。当日も段取り良く作業してくださり、こちらの要望をきいてくださり、まだ荷物が乗るからと言ってくれて乗せてくれました。冷蔵庫の下に床がキズつかないようにアクリル板を有料でしたが勧めてくれて購入しました。悪かった点3人で来られて、お客様には丁寧な対応だったが、部下に対しては忙しいせいもあるからか？言葉がキツい時もありました。,茨城,茨城,いつでも,4,4,4,4,3,6,30,6
15,2023-06-30,作業は丁寧で受け答えは好意的な印象。,4.25,引越し予定日が迫っていた中で、訪問見積もりから迅速に対応していただき、とても助かりました。なるべく費用を抑えたかったのもあったのですが、そういった部分にも快く対応してくださいました。引越し自体の作業についても、人数が少なく感じましたがとてもスムーズでした。チームの仲があまり宜しくなかったせいか、ポンコツな新人さんを抱えていたせいか、作業中のやり取り・連携の悪さが少し気になりましたが…笑無事に運んでいただき、本当に助かりました。ありがとうございます。,静岡,神奈川,いつでも,4,5,4,4,6,6,20,5
18,2023-06-29,アーク引っ越しセンター,4.5,・7万ほどで考えていましたが　2社で見積もってもらったら　8万前半くらいだったので　相場がそのくらいなのかなと感じました。　なので、人柄や対応、詳しく説明して頂けたことを　考慮してアーク引っ越しセンターに決めました。・他社と同じ価格に値引きを検討してくれて　その場で対応してもらえました。・ダンボールをプレゼントして頂いて　大人2人、子ども1人の世帯には十分な量でした。　ガムテープは一個買い足したので　2個貰えるとより嬉しいです。・アークさんは引越しのプロの方たちが　対応して頂けるので、梱包もしっかりしてくれて　荷物の扱いも丁寧なのでとても安心してお任せできます。　また、引っ越しに要する時間が本当に少なくて　こんなに早く終わるんだ！！と感動しました！　引っ越しのもの以外でも自分たちの車に積んでたものを　持ちますよ。と言って快く手伝って下さいました。作業してくれる方達の印象がとても良く　特にここがおすすめポイントです！！,愛知,愛知,いつでも,4,4,5,5,4,4,30,8
20,2023-06-25,4人のチームワークが良く、手際が良かった。,5.0,自分の準備が悪くまだ整っていない状態でしたが、嫌な顔せず運んでくださいました。ゴミもたくさん付いていて申し訳なかったのですが、ネジの締めなおしなど困ったことにも対応してくれました。とてもありがたかった。,宮城,宮城,いつでも,5,5,5,5,3,2,20,9
19,2023-06-25,見積もりを頑張ってくれる。,5.0,【見積もり時の対応】何度も折り返し連絡して見積もり金額や日程を調整していただき、好印象でした。【料金】月末は料金が高く感じるかもしれないとか、引越し見積もりの概要をとても細かく丁寧に説明していただき、とても親切だなと思いました。以前は月の初旬に引越しを行ったのでとても安かったのですが、見積もりに納得するような説明でとても勉強になりました。【作業内容】不安な点が見当たらないくらい、元気に良く動いて、安心して任せる事ができました。また、家具や段ボール全てに対してとても丁寧に扱っていただきました。【全体的な評価】今回の担当作業員であれば、また利用したいと思うくらい素晴らしかったです。荷物の届け日が翌日という日程で、明日もまた担当するとの事なので期待しています。【良かった点】ネットへの見積もりから数時間後にすぐ訪問見積もりをしていただいてスムーズに契約ができた事。作業員が3人いらしたのですが、3人とも元気よく作業してくれた事。【気になった点】引越し後の段ボール回収を依頼したのですが、有料で3300円（税込）する事。見積もりでとても頑張っていただけたので特に不満があるわけでわないのですが、無料回収の業者さんもあると思うので、次回また利用する際は、見積もり金額に＋3300円で考えてしまうのかなと思いました。今回は、近所に段ボールを回収するゴミステーションがない為利用いたしました。,三重,愛知,いつでも,5,5,5,5,5,4,10,5
17,2023-06-24,非常に良いと思います。,4.5,値段は私が思っていた金額より安く収まって助かりました。室内の養生も品物の養生もキチンとしてくれたので大変良かったと思います。ダンボールは無料でしたが使用済みの回収が有料(3000円)との事だったのでこちらで処分する事にしました。搬出も搬入も動きにムダがなく素早く行ってくれたので15:00からという遅い時間帯からの引っ越しでしたが移動も含めて19:00頃には終えることができたので依頼して良かったと思っています。,大阪,京都,いつでも,4,5,4,5,2,4,10,9
16,2023-06-18,丁寧な作業をする会社,4.25,受付対応からスピード感ある対応で良かったです。現地見積もりも、すぐに来ていただき、見積もり作成もその場でわかりやすかったです。以前、使ったことがある会社だったので、安心感もあり契約しました。段ボール、ガムテープなどの資材の配達も引っ越しより2週間以上前にしていただき、荷造りにも時間をかけることができ、余裕のある日程を組んでいただき、大変助かりました。当日の作業員さんも、挨拶からしっかりとコミュニケーションを取りながら、引っ越しの段取りを取り仕切っていただき、プロの作業でお任せすることが出来ました。率先してテキパキと引っ越し作業を取り仕切っていただきました。時間も思ったより早く完了し、スムーズな運搬、荷下ろし作業でした。荷造りにも一部アドバイスをいただき、非常に助かりました。また使いたいと思える会社さんでした。,愛知,愛知,いつでも,4,4,5,4,7,5,20,6
21,2023-05-30,,4.5,見積もり金額で他社と約５万円安かったが、対応もよく、満足のいく引っ越しができた。引っ越しの10日前くらいに確認の電話があったが、まだダンボールを受領してない旨を話したらすぐに対応してくれた。搬出３名、搬入２名で行ったが、作業はスピーディで早く終わらせることができた。,宮城,東京,いつでも,4,4,5,5,3,6,50,6
