,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
13,2023-09-27,テキパキしてて良かった。,4.0,"良かった点引越の際に無理をきいてくれた。照明をつけてくれた。悪かった点契約時当初は60,000円で契約しました。　但し当初予定していた新築の引渡が予定より延びてしまい、それを引越会社に相談したところ繁忙期に入ってしまう為、もうその価格では出来ないと言われてしまいました。言った言わないの話になってしまうのですが引渡が延びてしまう可能性があることは伝えていたと思うのですが泣く泣く値上後の金額で契約しました。初めに説明がほしかったと思いました。",茨城,茨城,午前,4,4,4,4,2,1,0,6
2,2023-09-26,礼儀正しい、丁寧,5.0,他会社で見積りをしたら予想より高く、２件目のこちらの会社で見積りをしたところ予想の金額が出たので即決。もっと安い業者もあるかもしれないと思いましたが、引越しの手配で精神的に余裕が無かったため決めました。引っ越し時間は業者に任せていたので18時から20時と連絡が来た時はアパートの他の部屋の人に迷惑になりそうで心配しましたが、下の部屋に担当者が挨拶に行ってくれました。搬出担当者は若い男性と女性2人で大丈夫かと心配しましたが梱包作業や荷物の運び出しはプロだなと感心しました。特に見積り以外に費用は発生せず満足です。,東京,新潟,午前,5,5,5,5,3,5,15,8
8,2023-09-22,電話対応、見積もり、実際の運搬全て感じが良い,4.0,電話対応、訪問見積もり、実際の運搬時の対応全て良い対応でした。訪問見積もりの対応は自社と他社との違い、メリット、デメリットをしっかりと説明してくれて、信頼出来ると感じました。アートさん以外にも2社見積もりを出して貰っていましたが、アートさんはその見積もり以下まで即決で値引きして頂けた上に、他社にない食器運搬のダンボールや、ダンボール自体の量も他社は数量かなり少なかったのですが、アートさんは無料で100用意して頂けたのも決めてのポイントでした。総合的に見て、とても良い引っ越しが出来たと思っています。,京都,京都,午前,4,4,4,4,7,8,70,10
24,2023-08-30,,5.0,【見積もり時の対応】今回はzoomでの見積でした。部屋全体をビデオで映しながら荷物の確認をしていただきました。対応してくださった方も、親切に教えてくれ、見積もその場ですぐにもらえました。料金も交渉していただき、予想より安くお願いできました！【料金】他社さんより、最終的にお安くしていただきその場で決めました。【作業内容】当日来ていただいたスタッフの方の対応もとてもよく、てきぱきと作業していただき、予定より早い完了でした。【全体的な評価】以前も利用させてもらった会社さんだったの、安心して利用できました。はじめに料金の比較をしてから数社に見積依頼をお願いしたことで、時間短縮になりました。引っ越しまで時間がなかったので、効率的に進められて大変助かりました。【良かった点】【気になった点】,千葉,千葉,午前,5,5,5,5,1,5,5,0
16,2023-08-29,2回目の利用でしたので安心感がありました。,4.75,3社と見積もりを比較して決定しました。大手3社の見積もりでしたが、1番アートさんが金額面と作業面で折り合いがつき、決定。他の2社は、片方は論外で、もう一つはアークさんでしたが金額が高く断念（本当はアークさんが良かった）営業マンは会社の顔ですので、ぜひ直接見積もりを取ることをお勧めします。どんな会社が自分達の要望に合うか確認すること大事です。実際の引っ越しでは、見積もりの内容に漏れが生じますのでその時にキチンと確認した方が良いです。ウチはシーリングライトを入れ忘れて、電話で持っていってくださいと伝えたところ当日に見積もりにないので無理と断られました。また、引っ越し業社に持って行ってもらうものはここまでとキチンと伝えましょう。最低限持って行ってもらうものを伝えてないと、部材が無くなり断られてしまいます。我が家は衣類を持って行ってもらえませんでした。（見積もりにはハンガーラックが入ってたが衣類以外で部材を使用していた）結局自分達でも運んでいたので何とかなりましたが、一回で全部終わらせる場合はキチンと確認が必要です。作業員は元気があって若いエネルギーいっぱいの方でしたので見ていて気持ちの良い人たちでした。参考になれば幸いです。,宮城,宮城,午前,5,4,5,5,4,6,10,9
20,2023-08-29,迅速な対応,3.75,値段は満足不満点は新築なのに新しい靴下を使わなかった事。暑いのが分かるが、ダンボールが汗で濡れてる、とにかく汗臭い酸っぱい匂い。汗を拭いた手で家具を触る等最悪だった。クリーニングサービスもやってなかった。,千葉,千葉,午前,5,5,3,2,3,5,40,3
28,2023-08-28,終始真摯な対応でした。,3.75,非常に暑い日時で、作業員の消耗が見てとれた。それで作業に滞りが生じた訳ではないが、集中力は落ちていたように思う。運んでいるものに汗が落ちてしまったり、壁をすってしまったり些細なミスはあった。しかし終始真摯な対応で、確認作業もしっかりとしてくれていた。運搬物の量・重量もあったと思うので、十分なサービスだったと思う。,群馬,群馬,午前,3,3,5,4,2,3,50,5
18,2023-08-27,そんなに値引きして大丈夫なのかなという印象。,5.0,良かった点・見積から契約までが非常に早かった。営業担当に裁量権があり、話が早いと思った。・契約後の契約者専用ページが見やすかった。・靴用のダンボール、食器用のダンボール、引越後のダンボール引取が無料、家具の移動が1年間無料などのサービスが良かった。悪かった点・特に無し,奈良,奈良,午前,5,5,5,5,8,8,30,4
15,2023-08-27,親切丁寧、まさにこの言葉がピッタリです！,5.0,悪かったことはありません。他の業者も何度か使いましたが、こんなに融通をきかせてくれたりはありませんでした。高いイメージでしたが、閑散期ということもあり、値段を抑えてくれました。次の引っ越しが繁忙期でなければ、是非またお願いしたいです！ありがとうございました。心ばかりの飲み物やお菓子を遠慮しながらもとても喜んでくださったことも嬉しかったです!,北海道,宮城,午前,5,5,5,5,3,3,20,4
14,2023-08-27,アフターサービスも良かった,4.0,【見積もり時の対応】丁寧【料金】やや高め【作業内容】満足【全体的な評価】やや満足【良かった点】アフターサービスば手厚かった【気になった点】少し値段が高かった,愛媛,愛媛,午前,4,4,4,4,2,2,20,5
