,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
9,2023-08-27,丁寧で迅速な対応でした,4.0,東京から大阪の引越しで荷物も多かったのですが。東京でも大阪でも４人～６人位の体制で迅速な積み込みと運び込みで１時間程度の作業時間で対応いただきました。親切で丁寧な対応をいただき、アリさんマークの引越し社にお願いしてよかったと思います。他の２社よりも最初から良心的な価格提示をいただいた点もよかったと思います。,東京,大阪,いつでも,4,4,4,4,3,5,90,8
7,2023-08-26,一言で言うと最悪でした。,1.75,お客(私達)の前で凄く時間がかかるなど責任者の様な１人の作業者がずっと文句を言っていた。引っ越しの時に用意して下さいと言われ渡した雑巾を使ったらそのままあちこちの床に置きっぱなしにされた。少し壊れかけていた椅子を完全に壊していて黙っていた。圧縮袋の布団が運んでいる途中で口が開いたようでぐちゃぐちゃのまま押し入れに突っ込んでいた。照明を外したり取り付けたりする時も、脚立を持ってこないで、折り畳み式ですでに折り畳んであるウチの椅子を黙って勝手に使っていた。他にも壊していたモノも黙っておいてあった。暑いから仕方はないが汗が床にポタポタ垂れて家具などにもベタベタついていた。新居で荷物を入れている時に途中で作業者が１人になり凄く時間がかかった。悪いことばかりで、良いところが全くない。二度と使いたくないと思った。,大阪,大阪,いつでも,3,2,1,1,12,9,50,5
13,2023-08-23,人気のある引越し会社。,4.5,引越しの作業を行ってくれた方達は、皆さんとても会社で教育されていると感心しました。特にリーダーの方は、作業員の指示が的確ですばらしかった。残念な点は、オプションでエアコンの取り付けを、頼んだのですが、引越しの当日に、追加費用が掛かりますと言われ４万円以上請求された。当日という事もあり施工を断る事もできずお願いするしかなかった。いつもこういう作法で費用をとっているのかと感じました。,神奈川,神奈川,いつでも,4,4,5,5,8,5,40,9
6,2023-08-22,対応、作業員の態度は良かった。,4.0,一言でいうと、高かった。今回２か所への引っ越しでした。広島市内へと岡山市でした。広島市内はアリさんにお願いをしました。高いと感じました。岡山への引っ越しがメインでしたが、アリさんの見積もりは６０万円以上でしたが、サカイ引越センターで２３万円で終わることが出来ました。悔やまれます。２か所ともサカイ引越センターにすればよかったと。,広島,岡山,いつでも,4,4,4,4,10,4,50,5
16,2023-08-20,営業の方、作業員の方、対応が良かった,4.5,訪問見積もりの方の対応が良かった。すぐにトラックの空き状況を確認してくださり、希望の日時に引っ越しが出来た。作業員の方が手際良く作業してくださり、午前中に搬出搬入が済んだ。とてもありがたかった。,静岡,静岡,いつでも,3,5,5,5,5,4,0,5
18,2023-08-20,テキパキと元気で配置場所も聞いてもらえて良かった。,5.0,当初の予算でできました、誤差なしです。訪問見積時になんとなくこちらの要求金額にしてもらえそうな感じでした。実際複数見積もりした事は告げました。段ボールも50枚とクラフトテープ2本と布団袋2枚も予算内でつけてもらえました。中堅の会社の印象で小回りが利くような印象を受けました。,千葉,千葉,いつでも,5,5,5,5,5,5,20,6
14,2023-08-15,引越しの対応はとてもよかったです,4.0,【見積もり時の対応】スムーズに見積もり頂けました【料金】要望を聞いてくださいました【作業内容】難しい搬入もプロの工夫で可能となりました【全体的な評価】良かったです【良かった点】引越しが安心してお任せできました【気になった点】エアコンの提携会社が人によって当たり外れがありました,神奈川,神奈川,いつでも,4,4,4,4,8,7,60,4
20,2023-08-14,見積もり時.作業時、丁寧親切迅速でとてもよかった,5.0,【見積もり時の対応】丁寧、迅速、訪問見積もりの次の日に料金が明確【料金】予想してたより安くできた【作業内容】荷造りからして貰ったけど予想より早く引越しが終わった。作業員はとても親切、丁寧で良かった。【全体的な評価】全てが今回の担当者なら次もこの引越し屋さんと思った【良かった点】全部【気になった点】個人、地域それぞれやり方や対応が違うかもしれないので全員が今回のようにはいかないかもしれない,京都,兵庫,いつでも,5,5,5,5,6,5,30,6
22,2023-08-14,荷物を運ぶ作業員の応対がにこやかでとても良い。,2.75,【見積もり時の対応】お盆前で依頼が多い時期だったが、入れて頂いて有り難かった。以前は訪問見積もりをしてくれたが、ざっとした荷物の内容を伝えただけで終わったので、少し不安だった。【料金】以前の引っ越しの領収書提示で割引が10％引きでは無かったがまだ有効だったので、良かった。【作業内容】作業員が2名だった。1人はベテランで、もう1人は新人の様だった。見積もりが電話だけだったせいか「予想よりも荷物が多い」と言われた。そのせいか、荷出しが大幅に時間がかかっていた。暑い日だったので休憩を挟みながらやっており、急かす気持ちにはならなかった。時間が遅れたので引っ越し先のガスの開栓を遅らせたり、テレビのルーター取り付けは日にちをずらしたりした。2人が倒れないか冷や冷やしたが全ての作業を無事に終えてくれたのでほっとした。差し入れのOS1を受け取ってくれたので、好感が持てた。【全体的な評価】壊れた物が一切なかったので、やはり信頼できる業者に頼んで良かったと思った。当日は時間はかかったが、丁寧にやってくれていると感じられたので満足度は高い。【良かった点】段ボール無料と、不要品回収はいつも有り難いと感じる。当日の作業員2人の対応が大変良かった。特にベテランはもう1人の作業員を気遣いながら行っており、暑い中大変だったと思うがイライラした様子もほとんど出さずしっかり作業してくれた。【気になった点】お盆前の繁忙期とはいえ、作業員2人は足りないと感じた。むしろ人が足りなくて気の毒だなと感じた。,東京,東京,いつでも,4,2,4,1,2,4,15,10
17,2023-08-14,テキパキと作業をこなしながらも雑談に応じてくれる,4.25,予算よりも高い見積もりだったが、かなり作業スピードは早くて驚きました。ただ、もう少し埃を払うなどしてくれていたら100点でした！自分で綺麗にしとけばよかったのですが。ちなみにコースは業者の方が荷造りをしてくれて、新居では自分で荷解きをするコースを利用しました。身体的にも精神的にも楽をさせてもらました。また引っ越しをする際には利用したいとおもいます。,大阪,大阪,いつでも,4,4,4,5,4,1,30,8
