,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
11,2023-08-22,礼儀正しく、好印象。,5.0,今回初めて、ハート引越センターを利用して金額がほかのどの業者より安く。大型家電を積む際に、詰めれるのであれば段ボールも同じ料金で積んでいただけるとのことでした。電話の対応もよく、安く費用を抑えたい旨を伝えると相談にものってくれました。他の引っ越し業者とは違い、臨機応変に対応してくださりすごくよかったです。引越し日を伝えると、無料の段ボールもすぐに手配してくれました。大型家電を引っ越す前の家から出すのに、狭く一苦労でしたが、とても素早く柔軟な対応にほかの業者の時とは全然違い、次回も絶対に利用したいし、ほかの人にもおすすめをしたいと思いました。,福岡,福岡,午前,5,5,5,5,4,3,20,7
12,2023-08-22,最初の電話から印象が良かった。,5.0,神奈川から青森までHPで提示された相場が約11万円、こちらは約7万円、他社は15万円以上。他社の半額以下の値段をすぐに見積もりで提示されのには驚いた。オペレーターの方がある程度の権限を持っているようで速やかに低価格を提示された。全般に電話が丁寧でとても対応がよく（ネガティブな発言が一切ない）、引越先での搬入時間も一日中待つことが辛いため困っていたら、午前指定を無料で提案してくれた。段ボールM10枚とS10枚、ガムテープ、食器などの緩衝材、ハンガーBOX2個（当日持ち込み）を無料で提供してもらえた。利用しなかったが他にふとん袋も提供してもらうことができた。他社では訪問しないと見積書を渡せないと言われたが、こちらは訪問無しで見積もってもらえた。電話で荷物の概要を述べただけで約1時間後には見積書をPDFファイルで送ってもらえた。そこで内容を確認できたので改めて訪問してもらうといった煩わしさがなかった。他社は別の日にまた時間をとって見積もりに来てもらわなければならなかった。搬出の作業が迅速なだけでなく、衣装ケースやテーブルなど（段ボールや箱以外のもの）はその場で丁寧に梱包してくれた。これを見て安心することができた。,神奈川,青森,午前,5,5,5,5,3,6,15,5
15,2023-08-20,丁寧、早い、安い！,4.5,とにかく、仕事が早く丁寧でした。たまたま台風と重なって、搬出出来るか心配でしたが雨風の中、頑張ってくださり、とても助かりました。搬入の人は、全てにおいて丁寧で言葉遣いもよく、真夏の暑い中、終始笑顔で頑張って下さり、とても印象の良い方でした。　金額も他社より安くしてくれました。悪いところはなかったですよ。,大阪,岡山,午前,5,5,4,4,2,3,15,6
13,2023-08-20,テキパキと動いてました,4.25,安いから仕方がないのもあるが、埃がついたままの搬入は残念でした。仙台から東京だった為か、人が変わる為、どこに何があるかが、伝達できていないように思えました。作業員さんのレベルも、すごい差があるように思えた。,宮城,東京,午前,4,5,4,4,4,6,50,0
16,2023-08-14,対応良く作業も手際よくスムーズに引越しできた,5.0,電話での対応は良く、価格も値引きしてくれお安く引越し出来ました。作業者も予約時間に来てくれ、作業も手際よく時間もかからずに作業してくれました。今回ハートさんへ依頼をしてとても良かったです。また同じ業者に依頼したいと思いました。,北海道,北海道,午前,5,5,5,5,2,0,50,10
17,2023-08-13,可もなく不可もなく。,5.0,最初はgoogleの評判が悪くて当日まで大変不安でしたが、実際はテキパキと作業していただきとても感謝しています。予算と見積もりは完全一致（５万）。値下げ交渉はせず、むしろ追加料金になって良いので「ロフトベッドの組み立て」と「連休」にお願いしたい旨お伝えしたところ、料金変わらず両方可能だと仰っていただきました。よかった点①見積もりの際、担当者様がとても細かく聞いてくださり、面倒くさい我儘も聞いてくださった。②電話見積もりだけで対応の可否をしっかり判断していただいた。（一番懸念していたベッドの組み立てを、電話見積もりの時点で「大丈夫です」と断言していただいたことが決め手です。曖昧な返事の会社がほとんどだったので。）③段ボールの到着が早かった。また、追加料金がかからなかった。回収もしてくれる。（時間がないため、早くから梱包を開始したかった自分にはとても助かりました。）④当日の作業のスピードがとても速かった。悪かった点①段ボールを受取る際、日時を指定していたのに置き配されていたこと。置き配はNGだと伝えて仕事を休んで待機していたのに…。②デスクトップPCやブルーレイデッキは当日業者が梱包するので自分で行わないで良いと聞いていたが、実際行われた梱包は空の段ボールに緩衝材なしで直に入れただけだった。てっきり専用の入れ物があるのかと思っていたのでショックでした。そうなることがわかっていたら自分で緩衝材を用意して梱包していたのに…。精密機器に対する対応が雑すぎてとても嫌でした。今回は初めての業者を使う引っ越しだったこともあり、自分自身学ぶ点が多かったです。安さ重視で行けばとても良い業者様だと思います。たまたまかもしれませんが、Googleの口コミのような不満事は発生しませんでした。来てくださった担当者様に不快な点はなく、毎回「これはどうしますか」と聞いてくださりとても丁寧な印象でした。ただちょっと上記に挙げた気になる点はあったので、次回はもっとお金を出して大手に依頼しようと思いました。値段相応といったところです。物が少ない単身者にはとても良いかと思います。,東京,東京,午前,5,5,5,5,3,5,15,10
14,2023-08-08,丁寧,4.0,あまり聞きなれない社名でしたが、電話対応の女性がとても丁寧でした。安く引越したいとお伝えしたところ、希望日時内で安い日程を組んでくださいました。当日の対応してくださった男性方も、こちらの要望を聞いて丁寧に対応して下さいました。,埼玉,静岡,午前,4,4,4,4,1,3,15,6
23,2023-07-30,作業は迅速だった。,3.0,【良かった点】３人での作業だったため、短時間で済んだ。【悪かった点】受付で申し込んでいた内容、具体的にはトランクルームにあった衣類搬送について、作業した方に伝わっていなかったこと。伝えた伝えていないの水掛論にもなりかねないため、情報共有の徹底を希望します。,北海道,北海道,午前,3,3,3,3,8,4,15,9
24,2023-07-29,作業の人たちは丁寧で仕事も早かった,3.5,ピアノの運送だったが、出発時丁寧に雑巾で拭いてくれたそうだが、着いた時、ピアノの表面や足の受け皿などは黄砂のようなホコリがついており、拭いた布は結構汚れていた。長い距離と日数がかかったせいでしょうか。,福岡,北海道,午前,3,3,4,4,8,0,0,5
20,2023-07-28,さわやか、てきぱき、無駄のない作業。,5.0,引越し閑散期ということもあってか、見積り依頼から引越し、引越し後の梱包資材回収までとてもスムーズだった。各日程も希望通りに設定でき、ストレスなく引越しを完了できた。特に、訪問見積もりの際の営業さんの対応が押し付けがましくなく、必要なことは十分に、でも無駄く、とても好感が持てた。,東京,茨城,午前,5,5,5,5,2,6,20,4
