,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
24,2023-09-27,大手,4.0,ベテランの方が丁寧で良かった。新人さんが一緒で怒られてる場面が結構あって大丈夫かなって心配になった。見積もりで貰えるお米も良かった。ダンボール、ガムテープも貰えて助かった。サカイさんは比較的安めで利用しやすい。2回目だけど、今回も問題なく満足です。,宮城,宮城,午前,4,4,4,4,2,4,0,7
4,2023-09-27,大手,5.0,訪問見積もりの人と作業員さんの対応はとても良かったです。洗濯機の取り付けでエレコンの方が来てくれましたが合計約1万4000円ほどかかり驚きました。料金がかかるなど知らされていなかったのでいつもカード支払いの私にはその場に現金を持ち合わせておらず銀行まで下ろしに行きました。先に伝えて欲しかったです。銀行に行くよう言われお金を下ろすまで後ろを着いて来られてたのでとても不快な気持ちになりました。,福岡,福岡,午前,5,5,5,5,4,4,10,9
15,2023-09-27,さすが大手,5.0,良かった点複数に訪問見積もりに来てもらったが一番清潔感があり、説明もじっくり丁寧でした。当日来てくれた方も事前連絡含めて皆スピーディーかつ丁寧で思ってたより早く終わりました。悪かった電話特にないが大手で混んでいるせいか20分ほど時間オーバーで到着した。スピーディーかつ事前連絡があったので気にはしていません。値段は5社のうち2番目に高かったですがずば抜けて高い訳ではなかったし安心感で選びよかったと思います。,東京,茨城,午前,5,5,5,5,7,1,15,4
17,2023-09-27,誠実さが感じられて信頼できる,4.0,"他社の見積もりが20万近くでしたが、その半額くらいで可能だということで即決しました。しかし、移動距離の事を考えると少し高く感じたので値引き交渉をしたところ、少し下げてもらえました。引っ越し当日はメディアに出てくるようなベテランがおらず、20代の作業員3名(男性2名,女性1名)で大丈夫なのかと心配になりましたが、作業効率も良くあっという間に終わった気がします。元々は2か所をピストンで運搬する予定でしたが、作業開始前に荷物の量次第では2か所で積んで一気に運べるという提案をいただいたのも良かったと思っています。荷物の扱いはほんの少し雑なような気がしましたが、引っ越しは他に経験がなく、他社がどんな感じなのか分からない為比較はできません。中途半端に片付いていない部屋も嫌な顔せずに梱包してもらえたのも良かった点ですかね。次があるかどうかは分かりませんが、間違いなく依頼すると思いますし、友人や知人にもおすすめしたいと思います。",茨城,茨城,午前,4,4,4,4,5,10,20,4
26,2023-09-27,コマーシャル通りの真心パンダで信頼できました,5.0,見積もりのお電話でも細かく内容を伝えてくださり、金額を出すまでが早かったので、即決できた。その後の対応も丁寧で信頼できた。当日も到着時間の連絡もあり、作業も早かった。また会話をしながらでも手は動いていた。その後の状況も考えて、アドバイスをくれた。一番は安心感がある対応をしてくれた。コマーシャル通りの丁寧さや安心感はお願いしてよかったと改めて感じた。,福岡,福岡,午前,5,5,5,5,2,4,5,7
23,2023-09-25,荷造りはより、作業員は悪い,4.25,荷造りの方や、とても丁寧でしたが、荷運びの人は運び忘れ、10分間サービスの提供忘れなど正直良いと思えなかった。新人の人は頑張っている印象ですが、逆にリーダー的な人はかなり雑であまりお勧めできない。昔エリアが違うが、こちらの会社を利用した際は対応が良くとても気に入っていたので、新潟ではこんな対応になるのであれば、あった出来事を詳細に周りに伝え、お勧めできない旨を話したいと思います。,新潟,新潟,午前,5,5,2,5,8,4,40,8
25,2023-09-25,動き態度とも良かったがモノを破損された,3.25,良かった点引き取り時の3人は態度、言葉遣い、身なり全て良かった悪かった点(^-^)見積もり時に粗品など無かった引っ越し先での設置に来た5人は2人は後半手持ち無沙汰でトラック横で立っているだけベット組立作業でネジの上からベット敷板を踏み抜き破損キッチンワゴン天板も角が2個所潰れていた,栃木,岡山,午前,3,4,2,4,8,6,20,4
22,2023-09-24,チームワークが良さそう。,5.0,引越10年ぶりくらいでしたが、キズをつけないように丁寧にやってたことと、お互いが確認しながらチームワークが良さそうだったのが、印象的でした。昨今の流れで仕方ないのですが、客の確認作業やサインが結構増えましたね。,新潟,新潟,午前,5,5,5,5,2,4,10,8
13,2023-09-23,とても良い社員の方が多く、テキパキとしていた。,4.0,サカイ引越センターの社員さんたちの素晴らしい態度には、本当に感銘を受けました。私たちの引越し体験は、彼らのプロフェッショナリズムと温かいサービスによって、非常に円滑で楽しいものとなりました。引越し当日、スタッフは笑顔で出迎えてくれ、親しみやすい態度でコミュニケーションを取ってくれました。このおもてなしの姿勢が、私たちの不安や疑念を一掃しました。彼らは私たちの質問にも快く答え、どんな小さな細かいことにも気を使ってくれました。その対応力には感銘を受けました。引越し作業も、非常にプロフェッショナルで効率的でした。スタッフは時間通りに到着し、慎重に荷物を運び出しました。家具や荷物の梱包も丁寧で、大切な物品が傷つかないように十分な注意を払ってくれました。この確かな技術に対する信頼感が、引越しのストレスを最小限に抑えました。また、サカイ引越センターのスタッフは柔軟性を持って対応してくれました。特別な要望や変更にも快く対応し、引越しプロセスをスムーズに進めるのに貢献しました。その柔軟性と協力の姿勢に感謝しています。総じて、サカイ引越センターの社員さんたちは、プロフェッショナルで温かいサービスを提供してくれ、私たちの引越しを成功に導いてくれました。彼らの素晴らしい態度とおもてなしの精神に感謝の意を表します。将来の引越しでも、安心して彼らを頼りにしたいと思います。サカイ引越センターを強くおすすめします！,神奈川,神奈川,午前,4,4,4,4,1,1,10,9
18,2023-09-21,担当の山際さんはプロといった印象でした。職人,4.0,山際さんはまさに職人でした、引っ越しのサカイ、名古屋チーム（荷物を積み込む）最大限評価します。半面、荷物を下ろした京都、引っ越しのサカイチーム。印象悪。早くおろせばいいもんじゃない、丁寧さに欠けるのと引っ越しの荷物をしげしげとみられるのは気持ちよいものではない。京都の引っ越しのサカイチームはもう二度と利用したくない,愛知,京都,午前,4,4,4,4,7,4,30,8
8,2023-09-20,　安心してお願い出来る印象でした,4.0,総合的には満足なのですが、2点クレーム。1)家具の棚の金具に関して、その家具の内側に貼り付けといて欲しいと依頼したが「紛失するから」と別梱包とされた。結局引越し先でどこに梱包されているのか全く分からず発見出来なくてとても困っています。2)当日作業開始時間(14:00〜17:00)が分かった時点で連絡が無く突然トラック到着，翌日のトラック到着時間も催促して連絡が来た状況。作業前の支払い催促連絡だけは確実でした。,福岡,熊本,午前,4,4,4,4,6,9,20,9
11,2023-09-20,見積りを詳しく説明しない,3.75,"見積りはいくらとだけ言われた。実際エアコンの着脱取り付けにパック料金等あったようだが、説明されていず余計に60,000円以上かかった。何のための見積りかわからなかった。引っ越し事態はスムーズできちんとしていただいたので良かった。",兵庫,兵庫,午前,3,3,5,4,7,10,50,6
20,2023-09-20,とても安心できた。依頼して良かったと思う。,5.0,○良かった点;電話対応から見積対応、引っ越し準備中の進捗状況の確認の連絡、作業責任者と作業員の対応がとてもよかった。安心して依頼出来ました。○悪かった点;悪かった点はないが、引越時の不要な荷物を1〜2品目程度引取って頂けるといいと思った。（お金が掛かっても構わない）程度。,神奈川,千葉,午前,5,5,5,5,6,8,50,6
6,2023-09-20,,4.25,【見積もり時の対応】清潔感ある服装できてくださって好印象だった【料金】あまり金銭的に余裕のない中での引越しで、初めて業者に頼むということもあって比較的安くしてくれたのでよかった【作業内容】短時間で作業を終わらせてくれたので助かった【全体的な評価】当日に荷物が増えることになったが、快く引き受けてくれてよかった【良かった点】見積もりだけでも粗品をくれた【気になった点】なし,京都,岡山,午前,4,4,5,4,2,4,0,4
7,2023-09-19,当日も素早く丁寧に作業されていて好印象です。,3.75,複数の引越し業者を紹介して下さったので、訪問見積もりの予約を取ることができ、値段やサービス内容の違いを知ることができました。そして結果的に複数お願いしたことで、価格も安くお願いすることができ満足できる当日を迎えることができました。お願いしたサカイ引越しセンターさんは、作業がとても丁寧で素早く対応もとても親切で保証もしっかりしてるのでとても安心できました。ありがとうございました。,神奈川,静岡,午前,3,2,5,5,5,1,0,4
37,2023-08-31,受け答えが営業と現場と最高でした。,5.0,悪かった点は一切ありません。営業の方の対応から始まり、話をしていて非常に安心して依頼する事が出来ました。粗品に関しては米2キロと貰って不要な物でもありませんでした。数社見積依頼をしていると大体各社で金額の争い等あると思いますが今回の企業は他社の見積金額等一切聞く事も無く1番手で訪問してきた企業よりも12万円下の金額で見積金額を提示してこられ無駄に連絡等も無く、ストレスフリーで当日においても、現場作業されている方全員の対応が非常に良く気配りに関しても神対応の一言でした。本当に良くしてくださった為こちらから当日飲食代を各々に渡したいと思い渡した程です。初の利用にはなりましたが、今後利用する事があれば100%今回の企業を利用させていただくと思いますし人に勧めてあげれる企業だと思っています。,広島,福岡,午前,5,5,5,5,5,5,30,4
30,2023-08-31,親切、丁寧。,5.0,まず、引越し侍さんの見積もり入力は簡単に出来てよかったですし、依頼から契約まで物凄く早くてよかったです。サカイ引越センターさんに決めた理由は、電話も当日も対応、会話がとにかく丁寧でよかったです。愛想もよく、限界ギリギリまで値引いて頂けましたし、支払い方法も相談に乗って頂けて安心しておまかせできました！荷物が少なかったこともありネット見積もりのみで着手して頂けましたし、当日も時間ぴったりにチャイムが鳴り、ものの15分で積込み終わっていました！早〜！と感動してたら、お荷物もうないですか？？自転車とか！って見積もりに入ってない物まで確認してくださってとにかく満足できました！もう私が引っ越すことはないと思いますが家族や知り合いが決めかねた時は引越し侍さんや、サカイさんを勧めさせていただこうと思いました！参考までに荷物の内容は冷蔵庫、洗濯機、マットレス1組、テレビ、段ボール100サイズ×20個、キャットタワー、ゴルフバック以上でした。移動距離90ｷﾛくらい。階段のみ３階→1階。参考になれば幸いです。ありがとうございました！,大阪,和歌山,午前,5,5,5,5,9,4,20,7
