,date,title,rate,comment
2953,2018-01-13,一生懸命さが好感がもてた,4.75,＜良かった点＞１.海外の家具が多く、大きかったが丁寧に運んでくれた。２．冷蔵庫や洗濯機の裏など、掃除の行き届いていない場所を運ぶ前に丁寧に拭き取ってくれた。３．一生懸命さが好感がもてた。＜悪かった点＞　悪かったというよりは残念だった点１.営業の方が丁寧で価格も勉強してくれてありがたかったけれど、荷物の量を見誤っていた。３ｔ積みきりで多少荷物が載せられないとのことで契約したが、実際は事前に自分たちで１／３は運び込んでいたにもかかわらず積み残しが出た。（アークさんにはお伝え済み）＜感想＞全体を通して無事に引越できたので　終わりよければすべて良し。現場スタッフさんのまじめな仕事ぶりが良かったのでクレームにする気はなかった。
2968,2018-01-18,電話応対も作業員の方も親切丁寧で大変良かった。,4.5,3社の見積もりをお願いしたのですが最初に来ていただいたアークさんにお願いしてしまいました。アークさんの引っ越しには大変満足しています。ただ、繁忙期は段ボールの無料引き取りは出来ないそうで資源ごみに出して欲しいと言われ少し残念です。月に数回しか資源ごみの日が無いのでいつまでも家に段ボールが有り片付きませんでした。
2958,2018-01-21,とても若いチームでしたが、チームワークが良いという…,4.25,営業マンはなかなか粘り強い方でした。3時間程交渉、結局いちばん安くしていただきました。クーラーと引越しをセットでお願いし当日付けてもらいました。家具の移動(1階から3階へ)もお願いしたのですが、手際よく喜んで(？)行ってくれました。引越し時に処分したい物がありました。粗大ゴミの安い処分のサービスがあると良いと思います。
2976,2018-01-31,電話対応から作業員の方まで対応はよかったです,4.5,午後のフリー便にしたため、スタートが六時だったのが大変でした。選んだのは自分なのですが、お得なプランのデメリット面をもっと協調していただいた方がよいかと感じました。
2979,2018-02-01,見積・ブッキング・作業いずれもスピーディ,5.0,【見積もり時の対応】非常に早かった。まずメールで暫定額提示、電話で日程確保も含め迅速に対応していただいていることが伝わってきて好感。【料金】引越し先のカギ引き渡し時間の絡みで、タイトなスケジュールでお願いすることになってしまいましたが、今まで引越をしたときよりも若干安い料金で仕上げていただけました。【作業内容】当初、積んでいってもらえるか不安なものもありましたが、こちらからお願いするまでもなく、積み込み作業時に「これは積みますか？」と都度確認していただき、特殊な梱包が必要なものもテキパキと積み込んでいただけました。【全体的な評価】とにかくすべての対応が迅速で、待たされることがなかったのが一番よかったです。【良かった点】作業員の方がとても楽しそうにお仕事されていたのが一番印象に残っています。【気になった点】マイナスな事は思い当たりません。
2975,2018-02-02,機敏に動いてくれた。,4.5,とにかく作業が早く、捨てる物も玄関まで運んでくれたり臨機応変に対応してくれてとても助かりました。引っ越し作業員さんたちはとても良かったのですが、その後ダンボールの事で問い合わせたときの女性の方の対応が悪く、少しがっかりしました。
2977,2018-02-03,非常に良いー,5.0,訪問見積もりから引越し当日まで、従業員さんの対応も素晴らしかったです。今後も機会があれば頼みたいと感じました。
2967,2018-02-04,サービスがよく安い,5.0,見積もりの際に同性の方が来てくださり、値引き交渉にも応えてくれて大変助かりました。当日も家具や家が傷つかないように細かい配慮もしていただき、ついでにカーテンも取り付けて下さいました。大変よい引っ越し業者さんだと思います。
2978,2018-02-04,うっかりミスが多い,2.75,作業してくれた方は、とても好印象で優しかった。しかし、忘れ物があった、また車の鍵を車の中にしまったまま鍵を閉めてしまうなどのトラブルがありました。基本よくしてくれたので文句は言わないように気を付けました。以前、大手他社2社へお願いしたことがあったがもっときちんとしていました。最後に上司との電話で話をする機会があったが、トラブルに対しての謝罪がなかったのが残念でした。また段ボールの引き取りサービスがあれば、もっとよかったと思う。現場の大変な仕事をしている人達はきちんとしていても、上司があのような感じなので、次回は別なところにお願いしたいと思いますし、お友達や周りの人たちにも話をしたいと思います。
2959,2018-02-05,丁寧で親切だった,3.25,見積もりで来られた方の持ってきた段ボールがタバコ臭くて嫌だった。他に見積もりを取ろうとしたら嫌な顔された
