,date,title,rate,comment
2660,2018-04-10,テキパキ、丁寧。,4.0,急な引越しで、日にちもギリギリでしたが、なんとか配車いただき、値段もギリギリまで割引いていただきました。作業の方は、テキパキ。扱いも丁寧で、思ったより早く完了しました。
490,2018-08-10,丁寧な応対,4.25,前回で二回目ですが、1回目は作業員の方の誘導が良く、今回は見積もりにきた方の対応が、非常に良かったです。
4107,2018-11-03,大手で急な依頼でも対応してくれる。,4.5,引越しを依頼していた地元の業者と連絡が取れず、前日にドタキャン。代替えとして前日に依頼し、数社に断られた中で、対応して頂いたのが何より助かりました。・引越しを担当したスタッフが明るく元気な2人組で、スピーディかつ正確。・家具配置の変更も快く対応してくれた。・２つの引越し元から1つの引越し先への依頼も快諾。・大手は高いという印象だったが、トータルの対応を考えると今回は安心感や迅速な対応込みで適正なお値段だった。
3957,2019-03-30,信頼できる。,3.5,繁忙期だったので、対応が粗雑だった。引っ越し日は指定日以外ダメ、今の時点で了解を、もらわないとトラックは押さえないなど、繁忙期ならではの強気で粗暴な対応に、怒りを覚えた。良い点は、提案は、スムースで、信頼できた。
4949,2019-05-12,あまり良くなかった,2.25,良かった点:手際が良かった悪かった点:手順と料金支払い方法が無かったので、後払いで良いと考えていた当日慌てた。引っ越し日は、５年前です。
4965,2019-07-08,電話、訪問作業もご挨拶からきちんとして好印象でした,5.0,遠方から高齢の母の荷物の引越しをお願いしたため、不安もありましたが、相談に乗っていただき、混載便での提案もしていただき予算内で納めることができました。ダンボールもコストを抑えたいことをご相談したところ、中古のダンボールをサービスいただきました。当日の積み込み、お届けもとても丁寧で母も喜んでおりました。ダンボール無料引取りサービスもありがたいです。今回の引越しはアートさんに頼んで正解でした。ありがとうございました。
4816,2019-07-17,明るい元気な方達でした。,4.0,"初めて引っ越し業者を頼んだのですが,あまりの速さでびっくりしました。指示もテキパキとしていたので感心しましたし,やっぱりプロはすごいと思いました!　"
4844,2019-07-18,引っ越し内容を聞き丁寧に扱ってもらえそうな印象,4.5,"・若干、他社より高いも見積もり時の説明が納得でき、丁寧に扱って貰えそうに思えた・本来見積もり時に貰える品が貰えず引っ越し後に催促すれば貰えた・見積もり時に値引き交渉はしていないが、値引いた金額で提示された。また支払い時に関しペイアプリでの案内があり決済時ポイントが高いようだったがスマホを持っていないので意味なし。せめて1,000円のポイント分でも考慮してほしいと交渉するも応じてくれず。・ダンボールを持って来るに時間になっても持ってこない為、センターに連絡するも担当から伝言されておらず急遽持ってきて貰うありさまだった。・見積もり時の試算が悪いのか着物箱、布団袋の数が足りずセンタへ依頼し持って来て貰うがどんな試算しているのかと思った。・家電の取り付け依頼をしていたが、クーラー・ＴＶ設置工事以外の取り付け連絡が出来ていくこれまた不信を抱いてしまった。・口コミは、当たった担当の印象で決まってしまうので一概には言えないが、担当者の言動ひとつでその会社のイメージがついてしまう。口コミはうのみにせずに自分で判断するのが賢明"
4947,2019-07-24,社員教育が行き届いていて、気持ちの良い仕事ぶり,4.5,・初めて引越しを業者さんに依頼したのですが、引越し業者さんの印象が変わりました。作業員の方々はみんな親切で、仕事といえども嫌な顔一つせず、テキパキこなして安心して任せられました。・料金も、他社と比べて高いとネット上では書かれていたのですが、エコ楽ボックス、ハンガーラックを無料で貸して頂いたりとサービスも良く、値引き交渉も応じてもらって、2社で検討した結果、アートさんにお願いしました。
4943,2019-07-24,暑い中の作業にも関わらず、笑顔で親切な対応でした。,5.0,三名のスタッフさんが来られ、段取り良く作業を行ってくれました。スタッフさん同士も仲良く、コミュニケーションをしっかり取られ、作業もスムーズに進んでいました。猛暑の中、笑顔を絶やさず対応してくれたのは、すごいと思いましたし、お陰様で新居へ気持ち良く入居出来ました。とても満足度も高く、感謝しています。
4937,2019-07-24,まさに口コミの評判通り、親切丁寧でした。,5.0,横浜から大阪市へ7月の末の引越でした。一人暮らしで荷物も少なめでしたので当初は７万ぐらいでと思っていましたが、どこも１０万～８万の見積もりでした。アートさんが７６５００円で２４日から２６日の希望を聞いて下さったことが決め手になりました。最初に訪問見積もりで決定した他社は、見積もり額にさらに上乗せし日にちの変更を強要したり…信頼できないと思いましたので、すぐにお断りしました。アートさんの口コミは、いいものばかりで本当なのかな？と実際に来て頂くまでは少し不安でしたが、お願いした次の日には段ボールの配送をして下さったり、当日も靴や服、テレビなど無料のエコ楽ボックスを使用して梱包の手間が省略できて、本当に助かりました。大切な家具はびっくりする程丁寧に梱包し何重にもして運んで下さり、感動しました。この場をおかりしてお礼を申し上げたく、口コミさせて頂きました。ありがとうございました。
4964,2019-07-26,作業員の態度はよい,3.25,作業員の態度はよいが、見積もりの電話対応がイマイチ。説明不足あり。当日の搬入遅れも影響してる
4955,2019-07-26,きちっと仕事はしてくれました。比較的いい印象です。,3.5,料金はやや高いと感じましたがタワーマンションからタワーマンションへの引越しということで荷物の搬入経路の問題等いろいろあるそうで仕方ないと感じました。それでも他社さんと比較してもアートさんが一番良心的な価格でした。今回の引越しに関して大きな不満はありませんが、一部、上積み禁止と書いた段ボールの上に段ボールを重ねたことがあったのが少し残念でした。スペースの関係上仕方ない部分も多かったと思いますができれば一言声掛けをしていただけるとよかったなと感じました。良かった点としては新築マンションの一斉入居のため、引越し先がほかの引越し業者さんも数社いたのですがアートさんのスタッフさんが一番感じが良く清潔感もあるように感じました。他社さんのスタッフさんは一部感じが悪くマナーがない（引越し期間は荷物と住民は同じエレベーターを使ってはいけないが無理に乗ってこようとする）方もいたのでアートさんにしてよかったと思いまs。
4952,2019-07-27,少し高い。荷物の扱いに少し不安を感じました。,3.5,人的には4人中二人は大満足、二人はおいおいという感じの対応でした。荷物もかなり気をつけて運んで頂きましたがタンスに傷がついていたり見えない所での荷物の扱いに少し不安を感じました。主に対応して頂いたリーダーには95点ぐらい満足ですが、トータル的には60点です。金額は後からの見積もりで後出しジャンケンみたいな感じだったので安くなったとおもいます。最初の見積もりでは一番高かったので。荷造りの段階ではダンボールはすぐもらえましたが、ハンガーや食器ケースは前日や当日しか用意できないとの事で二人不便でした。1日あたりいくらかの費用を追加すれば早めの用意も可能とのことでしたがそれはやめました。
4928,2019-07-28,安い引っ越し業者です。,5.0,・引越しの際、数社で見積もりを出していただいたのですが、アート引っ越しセンターは一番安かった。・電子ピアノ、ベッドの解体作業はすべてお任せしました。丁寧かつスピード感のある作業で、傷などつかないよう綺麗に包装して運んでくださり、とても安心感がありました。引っ越し先での組み立てまで行ってくださり、とてもありがたかったです。また、大型家具の梱包の仕方や運び出し方、家の壁や建具に対する配慮がとても素晴らしかったです。どんなに大きな家具でも飛び出る場所無く布とテープにて丁寧にくるんで運んでくれました。壁や建具もしっかりと厚手の布や緩衝材にて保護して傷を付けること無く物の出し入れをしてくれました。2階へ上がる階段が折れ曲がっていて昇降が大変でしたが、大きなタンスやソファもチームワークですんなりと運びあげてくれました。おかげで傷一つ付けること無く引越しをすることが出来て選んで良かったと思っています。
