,date,title,rate,compare,comment
5867,2020-10-05,営業から作業員まで安心して任せられる会社です。,5.0,1,良かった点料金がやすく作業に手抜かりがない。悪かった点時間指定していなかったので、作業開始が思った以上に遅かった。もう少し早めに目安時間を教えてもらいたいです。
5695,2020-10-05,スピードかつ丁寧Ｎｏ．1,5.0,1,引越し当日の担当の方が忙しい中気を使っていただきまた作業中でも世間話もしっかりしていただけて本当によかったです。また機会があれば同じところに頼みたいと思いました。
5820,2020-10-06,信頼出来た,4.25,1,営業マンの対応が良かった。いつも電話対応する事務員さんは素晴らしかったのに、お願いで電話対応した別の事務員さんの電話の対応が酷かった。営業さんに伝えて謝罪を受けた。
5935,2020-10-09,とても丁寧でした,4.0,1,見積もりから途中のやり取り、引越し当日の作業全て丁寧で早くしていただいたので満足です悪い点はありません
5973,2020-10-09,初めてだったので色々やってくれた。,4.5,1,初めて引っ越し業者にお願いしたら運ぶスピードが早くて短時間で終わったのでびっくりしています。僕は初めてだったので不安があったけど実際は色々やってくれたので助かった部分があったのでホッとしました。結局、心配はいらないでしたね。色々サービスをしてくれるのは思って無かったので有り難かったです。僕は耳が聞こえないので分からないことが沢山ありすぎてメールをしたですか全く回答してくれませんでした。結局、代理人にお願いして電話をする形になりました。僕だけじゃなく他の人も耳が聞こえない人がいるのでメール対応をお願いしたいと思っています。メール対応してくれると不安などが解決してくれると思っています。忙しいかもしれないけどどうかよろしくお願いします。メールやFAXなどを対応お願いしたいと思っています。どうかよろしくお願いします。
5861,2020-10-10,営業、作業員ともに対応が良かった。,4.0,1,営業の方も感じが良かった。作業員の方も感じ良かったですし、手際が良く、思ったより短時間で引越しが出来た点が良かったです。
5744,2020-10-10,しっかりしている。対応がよい。,4.5,1,【見積もり時の対応】即決ありきでの対応であった。【料金】初めの金額はなんだったのか？というくらい、最終的には下がった。他社と比べても高すぎる印象はない。【作業内容】テキパキと作業してくださった。今回の規模だと、他社は作業員2名が多いとのことだが、サカイでは3名で対応してくれた。【全体的な評価】よかった。【良かった点】ベッドを解体、組み立てしていただいたが、とてもスムーズだった。【気になった点】家具拭き取りサービスがあり、家具の埃を丁寧に拭き取りますと書かれていたが、普通に埃が残ったまま新居へ運び込まれた。これだったら、初めから拭いておけば良かった。営業の方には、冷蔵庫やマットレスが階段を通らなかった場合、手で引き上げると言われたが、当日の作業員の方はダメならクレーンが必要で、別料金かつ後日対応になるとのことだった。なんとか階段を通ったのでよかったものの、通らなかったらどうしたのだろう。
5859,2020-10-10,大手で安心感があった,4.5,1,見積もりに来た営業マンが非常に感じよく対応してくれた。値段は探せば安いところは他にもあったと思うが、価格的にも頑張る姿勢を見せてくれたので、ここで決めた。引っ越し作業については、大手ということもあり手際よく安全に搬出搬入を行ってもらえた。
5953,2020-10-10,スピーディでとても良かった,4.75,1,近くで作業していた方が応援で来てくれて予定より早く終わってよかった悪いところは特にないです。
5959,2020-10-10,,4.0,1,作業員は好印象です。４人で来ていただきました。作業員同士の雰囲気もよく、しっかり声を掛け合っていて、こちらも見ていて安心でした。荷物を落としてしまったときすぐに報告してくれたり、小さなきずも隠さず報告してくれるのも良かったです。雨の中の作業でしたが、全体的にはとても丁寧に作業していただきました。営業の方は悪印象です。いろいろ比べたいと言っても、今契約したらこれは保証する、などと半ば脅しのようにやたら契約を急かしてきます。契約するまではこちらの質問に対してこまめにに電話をかけてきてくれましたが、いざ契約したらこちらが電話に出られないとこちらがかけるまでそのままでした。引越の現場に来た方もボソボソしゃべっていたりと印象は悪いです。以前利用したときは営業の方も好印象でした。今回の見積もりでは、他社の方が若干安かったけれど、少しの違いなら以前良くしてもらったからと決めたのに残念です。
5903,2020-10-11,明るく親切,3.0,1,エアコン取り付けが家電店より安いと聞いて、その時はやすいと思いお願いしたが、結局多少の出費はあるとは思ったが、思った以上に経費がかかってしまった。
5975,2020-10-11,見積もりの根拠を説明してくれて好感が持てた,4.75,1,作業がテキパキしていて、態度も気持ちよく、大変でしょう？と聞いたら、いえ！楽しいです！と笑顔の女性が好感度大でした。
5821,2020-10-11,予想通り　家や家財道具に対しての傷防止が良かった,4.25,1,大型荷物だけの引っ越しをお願いしたのですがダンボールや布団袋を頂けてその分も運んで頂けました大変助かりました。
5800,2020-10-12,大手で信頼できる,4.25,1,営業担当が交代したのが残念。連絡が無かった。梱包について、もう少し詳しく説明が欲しかった。引越作業員の手際がよく、早かった。金額も大分調整してくれて助かりました。ただ、クラー脱着については残念。
5968,2020-10-12,作業員の方はいいですが営業員がいまいち,2.5,1,訪問見積もり時、予約当日に帰宅時間が10分くらい遅れそうになったら、部屋を見る前に電話で断られそうになった。結果的に安い価格だったので契約したが、態度含めいい感じはしなかったです。（こちらも悪いですが）作業員の方の対応は柔らかくとても良かったです。
5923,2020-10-12,作業員の方は良い点しかありません！,3.5,1,営業さんは他社の悪口が多くすごく嫌な印象でした。引越し当日に来てくださった作業員のリーダーみたいな方のスピードと容量の良さに終始感動で思っていたより早く終わって最後の10分サービスも、「何かお手伝いすることはありませんか？」と聞かれたので大丈夫！と答えたのですが、その場で組み立てていたラックを「手伝いますよっ！」と疲れているのに関わらず進んで手伝ってくださり本当に助かりました！作業員の方は良い点しかありません！
5941,2020-10-12,引越し屋といえばここ。,4.25,1,とにかく安く抑えつつ、ちゃんと対応してくれるところがよく、訪問見積もりもすぐに来てくれて助かりました。ダンボールも無料で貰えるので、そこもポイントでした。訪問の際、お米を頂きました。有難いけど無洗米が良かったなぁーなんて思ってしまいました。サカイ引越センターは、今回の引越しを含めて3回目だったので安心して任せられました。
