,date,title,rate,comment
2976,2017-07-24,親切丁寧。,4.75,見積りを依頼してすぐにアポイントの連絡をくれた。またこちらの希望日時にきてくれるとのことで最初から対応にも満足していた。今回は予算をできるだけ下げたかったのでその旨を伝えたら、見積りもかなり細かく計算してくれた。安くできる方法としてトラックのサイズを選んでくれて、「もし入りきらなかった場合はそちらで運んでもらえますか？」と率直に質問してきてくれた点も良かった。ただ段ボールを後日持ってきてくれる話であったが、こちらから問い合わせない限り一向に持ってきてくれる気配がなく、引っ越し２週間前くらいにこちらから問い合わせて、ようやく持ってきてくれることになった点だけは不満が残ります。その後の引越し当日に関しては概ね満足です。若い力で思った以上に短時間で作業をしてくれたので、その日のうちに別の事が出来たのは助かりました。
2972,2017-07-30,仕事をテキパキこなしてくれた。,4.75,他の引越屋さんは指定した時期では無理だと言われましたが、アリさんは快く引き受けてくれ、予算もサービスしてくれました。梱包、荷ほどきは女性スタッフがやってくれたのでキッチン・洗面所の収納などはモデルルームの様な仕上がりでした。同じスタッフの方が来てくれたので、安心できました。運び出しの男性スタッフはチームワーク・手際が良く、イケメンでした！予算はオーバーしましたが、自分達でやる労力を考えたら安いと感じましたし、大満足です。
2979,2017-08-11,見積もりの方も作業をする方も対応や話し方が良かった,5.0,予算の料金よりも安く、その場ですぐに見積もり訪問した方が判断して1万以上引いてくれた。他のところは会社に一度連絡しての確認だった。そして現場に出てる方が見積もり訪問で来るので、荷物の量などもこのぐらいで行けると判断して当日積みきれないってのもなかったし、段ボールも適量を無料でくれた。評判が良くないと聞いてたが、今回の引っ越しでイメージが変わった。また引っ越す予定があるので、お願いをしたいと思う。1社目で決めたら安くしますとかではなく、他の所もちゃんと聞いてから決めた方がいい。また量なども実際の現場の人だと分かるので、訪問見積もりは、現場の方々来る会社さんをオススメします。また他の業者さんの悪い所をいう会社さんはオススメしません。
2978,2017-08-12,ありさんマーク引越社には、二度と頼まない,2.75,これから引っ越しをする方は、良く話してから決めた方が良いと思います。口頭だけでなく、書面上での交渉が必要と思いました。私たちも色々調べて営業の方とお話ししてお願いしたのですが・・その場しのぎの口だけで引っ越し作業員にもよると思いますが、夢のマイホームのスタートが残念な結果になり、やり直す事も出来ないので、私の回りの人で引っ越しを考えている人には、値引きやプレゼントではなく、保証を重視してる引っ越し会社を進めたいと思います。
2977,2017-08-15,作業早く、礼儀正しく、てきぱきとされていた,5.0,値引き交渉を持ち掛けた際、他の業者とは違い上司に交渉をしそれを実現してくれた事に感動。粗品などのサービスよりも、すべてが満足できることの方が大切だと思います。今までにいろいろ問題を起こしているという評判もありましたが、電話応対、見積もり時の営業マン対応、作業時のスタッフすべて満足しています。（特に営業マンの人柄と対応が最高に良かった）始め良ければ終わり良し、最初の営業マンの対応が大切だと思います。
2974,2017-08-15,作業員さんの挨拶や雑談が明るい印象だった,4.75,見積もりの連絡は一番早く電話がきた。電話のスタッフはとても丁寧で、好印象だった。しかし、来た営業マンの制汗剤か香水の臭いがきつかった。言葉も少しぶっきらぼうに感じた。料金は他社より2万円近く安くて驚いた。あまりにも安すぎるので、少し作業内容や作業員が不安に感じた。作業内容は雨の中とても素早く搬出、搬入してくれ、「雨が酷くなりそうだから」と、近隣で引っ越し作業が終わったチームを呼んで、合計8人で作業をしてくれた。ネットの口コミも良くないものもあったり、他社の営業マンが特にアリさんマークの引越社さんを否定的に言っていたのもあり、安すぎるのでドキドキしていました。でも、作業員さんは皆きちんとしていましたし、対応も素晴らしかったのでまた引っ越しをするならお願いしたいと思いました。
2969,2017-08-20,みなさんテキパキと作業をこなして頂けよかったです,5.0,金額については、「20日以降が繁忙期になるので高くなる」とのご説明があり、どうしても予算オーバーだったため、なんとかならないか別日にズラすかなど色々ご相談させて頂くと、「時間が少しズレてもなら」と安くしていただける便を見つけていただき、ほんと助かりました。また当日も荷物が思っていたより多くなってしまいトラックに詰めるかギリギリになってしまいましたが、さすがに怒られるかなとおもったのですが、文句ひとつ言わずなんとか運べるよう工夫していただけました。また作業に時間がかかり過ぎる可能性があったからか、転居先にはさらに増員していただけ、迅速に作業していただけました。ありがとうございました。
2975,2017-08-21,丁寧な対応、作業全体がしっかりしている,4.25,見積もり時に「即決してくれればこの値段」と言われたが、他の業者の見積もりも取る予定だったので断り、再度見積もりしたら93000円に値上がりしたのが少し残念。見積もり時の粗品は他社の方が良かった。ダンボールが足りなかったので追加でもらったが、すぐ対応してもらったので良かった。新居だったので特に丁寧に作業してもらった。また話しやすい雰囲気だったので良かった。前回の引っ越しでもアリさんを使ったが、その時は作業者の対応が悪く印象が最悪だった。今回の人にその時のことを話したら、「今回は僕が担当して必ず満足いく形で終わらせます」と言ってくれたので、またアリさんにしました。結果満足出来ましたが、どこの引っ越し業者を使おうと作業者の当たり外れがあるので、アリさんをオススメすることはできません。ただ今回の人は親切丁寧で作業も満足できたので、周りにも紹介したいと思う。
2961,2017-08-23,今後は頼む事は無いでしょう。,4.5,作業担当者の３人の方が機転と融通の利く方で良く対応して下さったので、アリさんマークの引越社にはクレームは入れませんでしたが、今まで業者に依頼して食器や物が壊れるのは初です。準備段階で有るべき物が運び込まれず、見積りも全ての部屋を見せて１～２割以上残ってしまうというのは、契約担当の能力なんでしょうね。因みに見積り時の粗品は割引券ばかりで、他社の悪口ばかり言ってた他社の方が米だったので良かったです。知人からの評判とは違うところもありますが、引っ越しが忙しく段ボールなどの必要な物品の有無をしっかり自分で確認していなければ、業者にすぐ連絡したり、こちらも終わるまで油断せずに臨むべきだと思います。
2973,2017-08-25,営業の方、当日の方々も印象が良かった。,4.0,料金はまずまずの値引き価格でほぼ希望通りになり満足しました。不動産業者の紹介で家の売却、購入をし、引越し三割引きが付いており、その対象業者が１０社ありました。アリさんがその中に入っており、最初に訪問見積もりしてくれ、内容も適切であったため、選定しました。梱包作業の方々３名、引越作業のメンバー６名で、トラックも２台出してくれて、時間もスムーズで気持ち良く引越し出来ました。梱包用ダンボールも見積もり時１００箱でしたが、梱包当日に作業の方が途中で事務所に連絡し、結果的に、２００個のダンボールのプレゼントとなりました。インターネットで経営側の社員に対する問題が出ており当日まで、気にしておりましたが、対応してくれた営業の方、引越しの梱包作業の方、引越し当日の作業の方の対応がよく素晴らしかった。まわりに今後引越しを予定されている方がいれば、アリさんマークの引越社を紹介したいと思います。
2970,2017-08-25,段ボールに入らないものも結構しっかり包んでくれる,4.0,見積もりの電話連絡があったのは６社中５社でした。１社目と電話してる間に他の着信がはいります。他社の大手は、中小の引越し業者さんの料金では敵わないが、「安心や養生をしっかりします」と言ってました。その中でアリさんは大手であるのに、中小企業並みに料金を下げてくれる努力をしてくれました。多少荷物を限定しましたが。営業の方は40～50代くらいでした。料金は24800円(「大型の物と段ボールに入るだけ」と約束)、段ボール50個無料、ふとん袋３つ、ハンガーボックス３つ、ガムテープ３つ、２トンショート、作業員２名。当日は30代と20代くらいの作業員で、上の方が指示をし、迅速に作業をしていました。下の方は上の方に多少指導されていたので、不馴れなのかなとは思いましたが、キズや破損はありませんでした。上の方は段ボールに入らないものをしっかり布でくるんでくれてました。今回は札幌市内の引っ越しで、「大きいものをメインで」とお願いしたので、自分自身も大分働きましたが、自分では運びたくないという方は２トンロングを頼むと、追加料金でできると言ってました。アリさんはコストパフォーマンスは高いと思います。実際にくる作業員の当たり、はずれはどこの引っ越し業者でもありえることですし、過度な安全を謳ってる大手さんよりいいとおもいました。
2968,2017-08-26,対応が早かったのでよかった,4.5,8月月末の土曜日ということもあり、若干金額が高いかなと思った。しかし、対応、大手で教育が行き届いている安心感でトータルのコスパを考えると十分満足のいくものであった。一番早く電話をいただき(他社は5日後に電話連絡が来たり、こちらから電話しないといけなかったりであった)、見積もりにも早く来ていただいたお掛けで、引っ越しまでの日程に余裕がなか、引っ越し準備に充てる時間を十分確保できた。引っ越し作業も効率よく丁寧に実施いただき満足。
2971,2017-08-26,テキパキ対応してくれた,3.0,四社見積もりをお願いして、契約した引越し業者が一番初めに見積もりにきました。一社目を基準に他の三社にも見積もりをしてもらいましたが、一番安い見積金額でした。またいらない冷蔵庫の処分も無償で引取りして頂けたのも今回お願いした引越し業者だけでした。ただ、「多少の値引きは頑張る」と見積もりにいらっしゃった営業マンが言っておりましたが、実際お願いしてみたら、値下げ不可だったのが残念でした。ダンボールも事前に頂いた数量で丁度良かったので、良い営業マンに対応してもらえて良かったです。
2967,2017-08-27,とても親切な対応・声掛け有り,4.5,見積もり時点で「価格を抑える事では無くより良いサービスで対応しております！」と営業の方々は言われてましたが、３万～５万違うとその違いは大きく・・・安さで決めました。エアコンの見積もりは「古いので対応出来ない」と言ってた業者もありましたが、知識をもって見積もって頂けたら有り難かったかったです、当日出来ないと断られて困りました。現場の方々は声掛けもしっかりしており、きちんと確認して配置してくれ、大きな家具も工夫して何とか搬入してくれ本当に助かりました。素晴らしい方々でした、有難うございました。
2962,2017-08-27,ボール引き取りの連絡が無い,3.5,見積もりに来た人は感じ良く、いろいろ説明､提案して頂き家電も安く提案頂き有難かった。当日はどんどん片付いたが、作業中ずっと作業員に怒鳴る声が嫌だった。全員引越のプロと聞いて居たが･･･新人か？後日段ボール引き取りについても連絡も無い。【見積もり時の対応】良かった【料金】いいと思う【作業内容】手早かったが、作業が荒くタンスに傷が有った(後日気付いたが言って無い)【全体的な評価】提案は良かったが、他は不満･･･引越屋さんからエアコンも買ったが、やはり電気屋の方が良かった。段ボール引き取りも無いし連絡も無い。
2966,2017-08-28,丁寧で、手際が良かったです,5.0,ダンボールとガムテープが無料で配布されるのはびっくりしました。ありがたいです。見積もりの時に粗品があったのはアリさんだけでした。普通はあるのか、ないのかはわからないですが嬉しかったです。あと、電話での見積もり査定は良くないです。見てもらわないと伝わらないことがたくさんありました。丁寧で、手際が良かったです。
2964,2017-08-31,見た目より手際が良かった印象です,3.75,最初に比較サイトで登録した時点で、希望する引っ越しの日時が決まっていたのと、その日迄もうあまり日数がありませんでした。二社しか連絡がこなかった中で、もう一社には「トラックいっぱい」と言われて、見積まで話ができたのが一社のみでした。「その日に引っ越ししたい」と言う理由で、（申し訳ないですが良いも悪いもなく）お見積りしていただけた会社が一社のみだったのでアリさんにお願いしたのですが、当初はなるべく自分たちで運んで大物だけを運んでもらう形で4万円位で…と思っていたのが、全部運んでもらって6万円だったので、結果的には良かった気がします。アリさんを利用したのは初めてでしたが、若いお兄ちゃんスタッフもキビキビ動き、見ていて気持ちが良かったです。ただ、作業着の汚れ具合とかは少し気になりました。仕事柄汚れるのは当然だと思うのですが、何というか…、もっと大手さんだと、ピシッとした感じのノリの効いた作業着で…みたいな印象ですが、クタクタ？よれよれ？という感じが否めず…ま、しょうがないのかな…？という感じですが。その辺の見た目問題を除けば、「引っ越し」という作業内容的には問題なかったように思います。
