,date,rate,comment,result
3949,2024-04-03,0.5,現車確認すら来ないで電話だけで査定するような会社です。信用なりません。このたびは、MOTAをご登録いただき誠にありがとうございます。ご希望に添えない形となってしまい申し訳ございません。また機会がありましたらよろしくお願いいたします。,0
3948,2024-04-03,5.0,さわやかな対応でいろいろと教えていただきましたが、希望額に達しなかったためお断りしましたが、次回もお願いしたいという印象です。,0
3947,2024-04-03,5.0,希望額より少し低めでしたが、最終的に不安なBMに金額を合わせていただきました。連絡もこまめにいただきましたので安心して、しかも高値で買い取りいただけました！,1
3953,2024-04-03,1.7,査定額が提示されて10日以上経過していますが連絡がありません。,0
3945,2024-04-03,5.0,BMが不安なので、もう1社と思い参加していただきましたが、対応も丁寧でした。,0
3946,2024-04-03,5.0,１発で最高額の提示でした。が、見積もり審査中、こちらは外で待っていたのに営業さんは車内の暖かい所で喫煙・・・。このあとにも見積りに来て頂くショップさんがいるという話をしても、うちで決めて断ればいいんです。と。約束してるのでそういう事はしない。と伝えて去ってもらいましたが、横柄な態度でしたのでギリギリまで考えた結果NGとさせていただきました。今回は営業さんの態度にかなり不満でした。,0
3936,2024-04-03,5.0,最初の査定額より高値で買い取り価格を提示してくたさり、結果的にネクステージさんで買い取りをお願いしました。契約後もスムーズで、不満もなく売却できました。,1
3937,2024-04-03,5.0,お電話の方、来て頂いた方、共にとても感じの良い方でした。最後まで丁寧にご対応頂き、金額も頑張って頂きました。初めての買取依頼でしたが、とても良い方で安心して取引させて頂きました。次回もお願いしたいと思いましたし、知人にもお勧めしたいです。,1
3939,2024-04-03,5.0,対応が良く支払いもすぐにしてくれた営業マン、社長さん対応良かったですJanuary様この度は、数ある買取店の中当店をご利用いただき誠にありがとうございました。また、このような評価をいただき誠にありがとうございます。January様の大事にされていたお車ですので、次回もお車の好きな方に販売ができればと思っております。この度は、誠にありがとうございました、是非今後ともどうぞ、よろしくお願いいたします。,1
3940,2024-04-03,5.0,素晴らしい対応でした。この道のプロだなと感心しました。,1
3938,2024-04-03,4.8,最初のお電話から大変感じ良く、最後まで丁寧にご対応頂きました。とにかく感じの良い方で、ここまで対応が良いと会社の印象もかなり上がりました。今回はご縁はなかったですが、次回もお願いしたいし知人にもお勧めしようと思えました。,0
3941,2024-04-03,4.2,もう少し高くてもよいかなとは思いましたが、頑張ってくれました,1
3942,2024-04-03,4.0,電話のみでしたが愛想よく対応してくれました。こちらも査定を断りましたが最低価格は一番高かった。,0
3943,2024-04-03,3.0,電話対応のみでしたが良い印象でした。提示価格は一番高かったが査定は断りました。,0
3944,2024-04-03,4.7,査定価格は納得のいくものでした。対応も早く印象良かったです。,1
3868,2024-04-04,2.3,連絡が多く出れない時間によくかかってくる,0
3865,2024-04-04,5.0,こちらの質問にたいしても、営業マンはその都度、電話やメールで対応したくれたので良かった。,1
3866,2024-04-04,5.0,査定上位の何社かに見てもらい、1番高い査定でした。1週間くらいで入金ありました。,1
3867,2024-04-04,1.8,電話の感じは非常によかったと思うが金額がこの度は口コミのご投稿誠にありがとうございます。ご売却のお力になれず申し訳ございませんでした。またお車の売買の機会がございましたら宜しくお願い致します。,0
