at,score,content
2021-12-17 18:00:46,5,Loads up fast
2021-12-16 12:46:07,2,"The app is not providing any options for example: Can't select equipment type Can't select specific pickup date Can't select route type, weather one way, round trip, or single trip. Ect, ect."
2021-12-16 02:43:54,5,Great App
2021-12-15 16:41:01,1,"The regular driving app is horrible and these people are a bunch of clowns.... When your ready to step away from the circus, make 26' box trucks okay 2 use, do a rental program for the trucks because no one will jeopardize their insurance skyrocketing using a 3rd party. U guys want to start this so let us use your DOT Number. FYI, get better w/your phone service and customer service. Uber never responds back 2 you after they read this. I know I reported them to BBB and I made several reviews"
2021-12-15 16:00:06,1,"Fix the single load filter option... don't need round trips results which seems to be happening even after filtering Was working fine but after updates all I get is ""No loads to display"" Resetting search criteria doesn't help. No response from uber after email them."
2021-12-11 15:33:33,5,Come up with loads for TEAM DRIVING
2021-12-10 17:22:46,1,"When are you guys, going to add box truck?"
2021-12-06 13:38:42,4,I have rented penske trucks in the past for some personal use and when I had some extra time I wanted to try and use the app but it was too difficult. Is there anyway for me and others alike to use this app for rentals like that?
2021-12-05 20:36:35,1,"Its already 2 weeks since my account its not active, got email from uber freight my account its active and i can book loads but when I tried to log in is say need some information from me to activate"
2021-12-01 23:53:38,5,They pay me before I get home and rates are decent
2021-11-30 19:17:57,5,Awsome
2021-11-25 14:23:29,1,this people shouldn't even be doing business..there prices for there loads are unrealistic..and worse yet is the people that take them and do bussines with them👎👎
2021-11-23 21:50:41,1,"Worst company, customer service based in the Philippines and in Columbia, nobody knows what is going on ,so use at your own discretion"
2021-11-20 21:02:43,5,The best app for freight
2021-11-20 11:55:05,1,"The broker John Randel C. in this company is a liar. Booked the load for delivery at 5:30am, when he called why the company is closed, the broker quickly changed the payment at 8am, arguing that the company opens at 8 am and in fact at 6 am, and in the downloaded documents is 5:30"
2021-11-16 12:13:16,5,👍
2021-11-14 00:36:11,5,Excellent!
2021-11-12 12:48:48,5,I love it
2021-11-11 08:07:25,2,"Dispatch doesnt get updates. Evidently because they email, call and pester drivers etc..While trying to sleep so load can be delivered safely...A pure HEADACHE"
2021-11-10 09:00:49,5,Has some really good rates.
2021-11-09 01:52:47,5,Easy to work with
2021-11-09 00:58:37,5,Easier to excess
2021-11-04 15:52:04,5,Ok
2021-10-28 05:12:29,5,It is always great to work with Uber freight
2021-10-28 01:04:27,5,Best booking / broker around.
2021-10-27 22:37:12,5,"Great support, detention is good too, easy to work with."
2021-10-25 19:34:42,4,"Good loads ,good prices,good people to work with!!!!!"
2021-10-23 18:40:08,5,Uber works well for me!
2021-10-21 19:14:58,5,Needs a fix rate for load. Don't like load price up&down.Takes too long 2 to 5 hours for solving issues at shipper or receiving. So far doing great 👍 please keep up. Thank you!
2021-10-21 10:23:56,1,Trying to download the app and it tells me that I will be able to download it within 24 hrs. It's been almost two weeks and 4 tries. I can't sign up!
2021-10-20 21:18:02,5,The Best app ever!!
2021-10-17 19:02:18,5,Just great
2021-10-14 21:25:19,2,"App is easy to use without to many glitches BUT uber freight is a complete joke due to their lack of communication. Dont expect detention, or any other accessories. If uour already having issue at shipper. Leave the load and disappear. They tied up my trailer for 2 weeks so far. CARRIERS AND SHIPPERS BEWARE!!"
2021-10-14 19:57:20,5,Easy to operate.
2021-10-14 16:09:12,1,Uber freight . Very bad company.
2021-10-11 22:48:21,1,"Having trouble signing up ,"
2021-10-11 09:55:08,5,Excellent
2021-10-11 06:23:44,4,So far so good. Comes in handy as a third source for loads. I like the fact that we do not have to factor loads because UBER pays twice per week. Customer service can be challenging due to language barrier. Overall it has worked for us.
2021-10-09 05:46:12,1,Sucks I haven't see any loads for a couple months
2021-10-08 11:37:59,1,Uber Freight is there a direct person to talk to .. I was late with my load... I have been sitting on my load for more than 24 hours.. Is there a direct person to talk to... I need help .... They is no one to talk to...
2021-10-05 20:00:40,5,Convenient booking
2021-10-05 14:18:33,5,"Easy, Faster and serious app."
2021-10-01 14:13:23,5,Nice and simple.
2021-09-26 07:55:54,3,Diring searching loads date often stucks and will not change to another. Also app switches to load was delivered and stopes tracking ofted during simple stop before delivery make sure to roll it back or detention might be refused.
2021-09-26 05:43:38,1,App keeps crashing and wont work no matter how many times I reinatall it.
2021-09-24 17:40:00,1,"they getting worse with every day, if you have problems with load, support India takes few days! you are on your own"
2021-09-22 13:04:23,3,"Gave this app 3 stars because while it has been easy for me to book loads or get help from support, the usability of the app has gone down considerably. Anytime I click on the filter options once, I can never click on them again. I have to restart the app each time to click on the same filter option. Load searching and viewing are more limited as well. It seems as if you need to be in the current area for where you want to pickup a load or else you won't get many results."
2021-09-20 12:46:39,3,"When you arrive near the delivery place, app will automatically remove the load as if it's delivered. This should be fixed. My appointment is Tomorrow and arrived at a truck stop near the warehouse but the app says load is delivered just because I arrive near the delivery city. This is wrong . Please developer, prevent the app from doing this . Delivery should be manually done by the driver."
2021-09-17 22:15:31,5,Hopefully Uber will broaden its geographical areas for more load options.
2021-09-17 11:56:48,5,Easy to use
2021-09-13 23:13:23,5,They fixed the problem that I had with the app and the customer service was great. Thank you UF
2021-09-13 07:00:43,1,This app sucks is totally misleading
2021-09-12 13:00:19,5,Easy to use
2021-09-11 02:39:49,5,Very ez to use
2021-09-10 11:50:20,5,👍☝ UBER FREIGHT is the way to GO** VERY satisfied with their service** tonystars
2021-09-08 16:41:52,5,"Uber Freight continues to improve their app, which is great, they've made it as easy a possible to browse for and see the info about loads,if you like it, click and accept the load you want, it's that easy, I only wish we could bid on all loads, not a select few, but other than that small issue, they'll get 5 thumbs up out of 5 in my book as well👍👍👍👍👍"
2021-09-08 15:17:41,5,I enjoy the loads and pay
2021-09-08 13:57:18,5,Very good job to the developer. Keep it up now in these days with the latest technology we have is very attractive to have something like this. I really love it. Thanks again when I have my own company I definitely will use you guys as my first priority.
2021-09-04 22:35:59,2,Worst costumer support and should be able to bid on every load.
2021-09-04 21:37:41,5,"Like everything on earth Uber has its flaws,but let me tell you something if you can't be well off using this app and I don't mean surviving I mean building a fleet the problem ain't the app!"
2021-09-03 22:50:43,5,Very easy to use. Easy to find loads and quick to receive settlements.
2021-09-03 13:09:45,5,Great app
2021-08-30 09:29:29,5,love working with Uber!
2021-08-27 23:22:23,4,Wish bidding were more readily available
2021-08-26 12:10:22,5,Fantastic
2021-08-26 07:07:35,4,OS&D department is horrid to put it nicely.
2021-08-25 02:34:11,5,Awesome thanks
2021-08-24 21:37:46,1,"Worst customer support ever. Worst escalation process ever. Long story short shipper refused to take in the load so asked for reschedule for drop off, and every time I call this matter is been handled with high priority and urgency. 24hrs later issue not resolved. I asked for the load to be returned and shipper to be notified and I was told shipper was notified, 4 hrs later shipper refused to take the load because no RM#. If you going to use this app make sure you have plenty of time to deliver."
2021-08-23 20:52:41,5,Thank you
2021-08-21 21:37:17,5,Good loads
2021-08-21 19:00:09,5,Good so far
2021-08-21 15:42:22,1,Won't let you log in
2021-08-21 12:39:17,5,Mama
2021-08-20 21:50:18,5,Good Experience so far. Best Load Board Rates between a few others + no hassle dispatch is an added bonus.
2021-08-20 17:00:22,5,I love the options
2021-08-18 18:42:06,5,First in its class
2021-08-13 04:15:53,5,Straight forward easy to use
2021-08-11 02:28:37,5,I am loving it
2021-08-10 11:39:54,5,Best way to owners operators beginner's start a successful business
2021-08-09 20:17:47,4,Sorry I meant to update my review and remove my previous one. Raised stars from 1 to 4. Thank you.
2021-08-09 16:59:58,5,Good
2021-08-06 23:29:01,1,Have a problem? You will sit for hours and never get a call back! Also very hard to get ahold of anyone that you can understand!
2021-08-06 07:25:02,5,So far so good. Consistent improvements and excellent support response times. Transparent booking and quick settlement processes removing all the unnecessary hassle typical of the industry. Likely to continue to improve and disrupt the industry for better and improved performance of all parties operating in the industry. A win-win proposition for all wanting to simplify life and work organically.
2021-08-05 04:35:17,5,I love it
2021-08-04 00:47:12,5,Great app for new authority.
2021-08-03 05:58:37,4,Good
2021-08-01 23:09:57,5,"Great system and Great people to work with very helpful. ""Powerloop""🏆🏆🏆🏆🏆"
2021-07-31 23:47:24,3,Sometimes the app is freezing
2021-07-29 22:58:28,1,Well not worth the time to download i even did it 3 times and all three times i can get to the log in screen then it says sorry theres a problem and cant get back into the app. This is stupid in todays technology i should be able to use an app that thay have out and not get a stupid error screen apparently they dont k ow how to write a program to work .
2021-07-29 13:57:11,5,Easy to use tracking
2021-07-29 03:30:06,5,ITS WORK
2021-07-28 16:51:51,1,"Getting ready to uninstall. No loads? Zip, zero, zilch everyday. Even when I get email saying 12 loads available, I go to the app, no loads available. NOT IMPRESSED"
2021-07-28 13:23:48,5,Nicely done from Cole transportation Service
2021-07-26 04:42:31,5,Awesome experience
2021-07-21 18:16:39,5,Easy in a click
2021-07-19 17:41:11,5,Very useful and professional. Support when you need it no matter the situation
2021-07-16 18:04:11,5,Good
2021-07-16 00:13:50,5,"Great support, I'm very very satisfied, Great people."
2021-07-15 04:13:03,5,Good
2021-07-14 01:55:43,4,Best support team... They are on point
2021-07-12 03:35:26,1,Scamers always looking for away to denied detention. I prefere dealing with other brokers .
2021-07-10 15:59:24,5,Learing but working 💪uber awesome
2021-07-08 21:32:54,4,Uber treats me right.
2021-07-08 02:12:50,5,Very Nice!
2021-07-07 19:03:23,4,Great app. Good amount of loads posted daily. Wish we could have the option to bid on more or all loads
2021-07-07 00:13:44,4,A friendly app to work with
2021-07-06 15:02:09,4,Works very well easy to use.
2021-07-05 13:12:39,5,"Booking loads with Uber freight is really cool, and fast and ready to go to work right away. Thanks to the Lord and Uber freight."
2021-06-30 20:37:32,5,Easy to work with
2021-06-26 23:58:22,1,They bait and switch load prices watch out. I screen shot it as proof and if i could upload phots i would and will. Load qas offer at $3400 go to book it it drops to $2970
2021-06-26 16:58:59,5,We all different but to me they are the best they treat me good
2021-06-23 20:10:53,3,Times between pickup and delivery are too short. We should be able to bid on times.
2021-06-21 13:39:42,5,so far I've been making good money here
2021-06-20 03:39:16,1,Worked exactly about like I figured it would
2021-06-17 01:23:29,5,One of the best customers care among other big brokers.
2021-06-16 06:11:31,5,Great loads with great pay
2021-06-15 18:45:30,1,Still can get in I sent my dot mc and insurance they asked me to call there 844 number but they are no help I just won't to drive
2021-06-11 14:39:07,1,Attention carriers Uber as a app is good but they delay payments For no reason and they Try to not pay Lay overs And there Call centre in Philippines doesn't help you They only try to learn English over the phone an actually right now that I'm writing this They still haven't paid me a load Have been more than 7 days And you can not get in touch with a broker to see what going on we try uber freight support so many times and so far nothing works
2021-06-10 22:17:55,1,This app sucks now since my latest update. It wo let me look for loads if they are not around my area. Even if I search different city it will show me loads 200 mile radius only
2021-06-08 20:43:42,1,App will not start my loadboard what will I have to do to get my loadboard restarded
2021-06-06 02:42:24,1,"Been trying to install app for a month. Finally got someone to send me carrier packet, got signed up, now the load board won't load. Something went wrong we can't reach our servers. Called support, they say it's my internet connection. The only thing I can't connect to is the uber load board."
2021-06-05 22:40:51,5,Great experience
2021-06-05 22:38:03,1,Uber has changed the system so much that is hard to find a load because of their dedicated loads and not enough bids.
2021-06-05 05:17:58,5,Good app for Get load
2021-06-03 23:12:21,5,Love this apps ease of use
2021-06-03 01:40:21,5,"Love working with them,rates $$$ are above average"
2021-06-02 18:43:35,1,Keeps making me sign up all over again. Never able to access a loadboard if there is one. Keeps saying someone will get back to me if any questions; no one ever does. I've signed up multiple times over the last 4 months. There is no support to contact.
2021-06-02 18:38:15,1,This company wants you too run for pennies on the dollar
2021-06-01 18:43:31,3,Everything seems to work fine until you need help with pick up/delivery appointments or pick up number. It could take hours or days before they give you any update because you will be dealing third party call center some ware in India. Hope you don't need them.
2021-06-01 15:16:29,5,Easy to book loads and get paid
2021-05-30 19:57:01,5,I love this APP it kind of created for driver.
2021-05-28 15:54:48,1,Not user freindly apps
2021-05-28 03:23:52,5,Very satisfying working with uberfreight
2021-05-26 19:20:57,1,I made a user name and password but can't get in....I did call Uber freight and they told me that they would give me a call within 24 hours I never got that call or email this is a hard loadboard to sign up for it's now been 3 days and I haven't been able to sign up for
2021-05-26 18:57:18,1,"App SUCKS! You can't even save a lane. Every time you enter your information and click next, it erases what you've entered. App is a total waste of time. This is why I don't use Uber hardly ever."
2021-05-26 05:09:09,5,Arunas Mazonas great ap great rates i liket
2021-05-21 23:22:14,3,So So
2021-05-21 17:52:48,5,Great
2021-05-21 13:45:04,1,"Starting out everything and everyone has been great. On 4/7/21 they didn't have anybody to pu a load out of VA got to NC. PU and deliver the same day. Booked the load 4 hrs past appointment. And knew that it would be a work in. After finishing loading, was told they would take it if I got there b4 midnight. Showed up at 10:58, and they appointment numbers they gave me, didn't work. Call and they gave me the run around. Was told the next appointment would be 4 days later. No pay for sitting 😕"
2021-05-20 22:12:54,1,"Terrible app, won't let me sign in after several password resets...keeps saying Something went wrong, try again"
2021-05-20 14:00:55,3,Need away to remove dumb bundles
2021-05-20 02:31:08,5,Very easy to use and effevtive.
2021-05-19 23:15:53,5,Esey to used
2021-05-19 21:17:29,5,Great
2021-05-19 20:06:45,5,Cool
2021-05-18 15:12:37,5,They paid me detection for two days automatic... better and others company to be fighting for Extra $
2021-05-17 03:02:55,5,They are the best 👌 and app very easy to use
2021-05-16 20:45:29,5,Its great ez straight to the point
2021-05-16 19:11:12,5,All good
2021-05-16 04:09:51,1,Not working! Can't even log in!
2021-05-13 16:07:33,5,Very considerate
2021-05-11 16:58:21,3,The new system for choosing loads is too complicated too many options sometimes get me confused
2021-05-10 23:35:48,5,Easy to use .
2021-05-10 00:09:14,2,Now automatic tracker doesn't work. In the location options 'Allow all the time' is missing?
2021-05-08 15:37:07,5,"I have called with so many questions and Uber customer care, they have been so helpful."
2021-05-06 02:50:36,5,Awesome way better than TOTAL QUALITY LOGISTICS THEM BROKERS ALWAYS TRYING TO SCAM U FOR THE LAST PENNY!!!
2021-05-05 20:25:29,4,"I'm bumping the app from 3 to 4 stars. They have reduced their tracking calls finally! Seems like the quality of loads (yes, quality not quantity) have diminished lately as I keep collecting TONU's from them. And 150.00 doesn't really cut it when a truck travels 120 miles and waits several hours for it. If this continues, my rating will go back down."
2021-05-05 08:45:07,5,No drivers should roll out with out this app 😊
2021-05-03 19:43:46,5,25year espirensia
2021-05-02 20:18:48,5,Easiest app to use when it comes to finding freight and getting detention or lumpers fees
2021-05-01 14:08:27,5,Exelent app
2021-04-29 01:13:15,5,Love it
2021-04-29 00:59:53,4,"Very easy to use the app, very professional people ,good company to do business with."
2021-04-28 20:24:53,5,Pretty good
2021-04-28 19:31:41,4,"Lately the app is slow as ever to load, and recently, gives me an error that something went wrong and to refresh. This is not very helpful or useful for when a driver is trying to book loads and they are unable due to an error."
2021-04-27 21:54:51,1,We should be able to rate the pick up location not have to wait until the delivery drop cause it's not the same driver and this location I go to needs some attention with how rude and nasty they are to drivers
2021-04-26 13:27:48,5,Feel like this is going to be a very nice run like this.
2021-04-21 20:25:27,5,Good
2021-04-20 12:51:47,4,Need more bidding options
2021-04-16 21:16:55,1,Really bad. Don't use it.
2021-04-16 10:32:27,4,More details on the load description Pick-up distance Load range Active location More organized compared to other.
2021-04-16 03:36:35,1,"The app is easy to use, rate per miles is not bad, Uber customer service is the worse in the United States, they don't respond to the carrier problems never, they never call you back or give you an answer to nothing, they ignored you on my opinion they treat you like s--- you pay the cost of the free app, if you have delay or detention they don't care and don't call because they never call you back"
2021-04-15 11:40:02,5,App functions Great... easy to navigate
2021-04-14 20:37:02,5,App works great
2021-04-14 15:10:55,1,Latest update restricts the ability of the carrier to contest a score rating on a carrier performance report for late arrivals. The performance report WILL NOT allow the user to enter the info needed to contest. This is a must fix to ensure carriers are allowed to correct inaccurate scores.
2021-04-10 02:24:17,5,"""The app doesn't accept my pickup and delivery locations, they just changed back to Near Me and Anywhere..."" The interface changed significantly. Clear Data, log back in, and you're back in business."
2021-04-09 12:34:18,5,Great app!! Easy to used
2021-04-08 15:19:43,5,I'm happy work for uber
2021-04-07 19:02:56,5,Awesome
2021-04-07 15:51:48,5,Excellent
2021-04-07 08:46:22,5,Excellent assistance
2021-04-07 01:05:18,1,"I can't pull up loads in my area. App keeps telling me to widen my delivery area to 200 plus miles because I am missing out on loads.. I do that and then it says ""all caught up"". App is not working."
2021-04-06 12:09:50,1,I don't see how this place stays in business. Picked up a load in Memphis Tennessee & lost 7 hours from waiting to be loaded & appointment fir next day at noon. In which the delivery place is closed over the weekend. They finally called last night said to deliver at 6am & I get here place says they don't start receiving until 8am & with appointment. So got to waste more time trying to set up new appointment time . & all the operators I have spoken with from this app can barely understand Eng
2021-04-05 16:19:23,5,Uber freight has improved and hopefully they will continue to work thanks
2021-04-05 00:42:20,5,Practical and fair. Great customer support.
2021-04-04 21:44:55,5,Satisfied
2021-04-02 22:44:04,1,After you pick up a load it blocks you from being able to pick up a return load. Ive also booked loads and had the information disappear. Fix the bugs and issues with app.
2021-04-01 01:32:38,5,Good
2021-03-31 07:03:44,1,If I could give this new update a 0 I would. Won't even allow me to check the area that I'm headed into. Can't book with them anymore.
2021-03-30 22:35:44,1,Ever since your update it has no loads like it did before I'm lucky to have one on there very disappointing
2021-03-30 16:48:14,5,Best customer service good response any time you need to speak with any employer
2021-03-28 16:22:06,2,To complicated
2021-03-28 01:12:23,5,Great optional choice
2021-03-25 13:58:06,5,Job well done
2021-03-25 01:31:25,1,The new design is not good! Every time we try to do a search in a area it resort back to near me... Tried to save lanes...it resort back to near me...major issues!
2021-03-24 07:26:11,5,Love it
2021-03-22 13:33:16,1,They changed the app now you have to keep putting your starting point every time you open the app and the dates were at the top easy to work with now it sucks the old app was way better
2021-03-21 00:37:40,5,Uber has been wonderful working with great rates with legal drive time for delivery and pick ups
2021-03-17 23:33:39,1,It's no longer working... i ges have to look elsewhere for loads.
2021-03-16 16:54:04,1,App says my company's D.O.T number is not a number so I can't get passed the account setup page. I will be happy to give more stars when this issue is fixed but as of right now I can only give you 1 star.
2021-03-16 11:31:00,5,It's a really good app
2021-03-15 01:19:09,5,"I just updated the App now I can't look at any area except ""Nearby"" (Edit) Had to uninstall and reinstall and working perfectly Still one of my favorite load boards."
2021-03-14 15:26:53,1,You are the worst ever in everything
2021-03-13 03:19:43,5,I make more MONEY with Uber Freight ❤.
2021-03-12 21:30:08,5,"Great App, easy breezy."
2021-03-12 16:47:07,5,Excellent
2021-03-10 20:10:59,5,Beneficial
2021-03-09 20:24:36,5,Good
2021-03-09 15:34:12,5,Muy buena!
2021-03-07 16:12:19,5,Good app
2021-03-07 11:39:28,5,Easy app to get around and they put in great details about each load
2021-03-07 02:15:05,1,No me funciona. Is not working
2021-03-06 03:37:19,2,"It takes a long time to load. After scrolling down, it just stop and can't do nothing."
2021-03-05 19:17:28,1,VERY BAD. NO CUSTOMER SERVICE
2021-03-05 14:11:51,4,Better than I thought
2021-03-04 10:32:14,1,"GIT TRANSPORT LLC, SENT MY BANKING INFORMATION IN.Still sent my $ to wrong account now got me waiting almost 3wks to get paid due to their error.Thats. on two pay outs.UBER doesn't have good service and not good on processing documents. Wouldn't be my first choice to work for👎🏾"
2021-03-02 20:32:34,5,Very good company to get loads from.
2021-03-02 15:49:32,5,Excellent ease of use. Tracking is great!
2021-03-01 15:38:14,5,"Very helpful and easy to use, great personal. Thank you Ufreight."
2021-03-01 13:55:41,5,Awesome job!!!! THANKS
2021-02-28 15:45:51,5,They are the best they're paying their money on time
2021-02-27 17:49:50,5,Easy to use. No hassle.
2021-02-25 18:53:59,5,It's a good trucking app
2021-02-25 12:11:34,2,This app is not allowing me to search for other locations why please advise me is anything change
2021-02-25 02:04:06,1,Very poor operating performance
2021-02-23 06:41:02,5,"I worked with Uber freight for quite a while now and I can tell, this guys mastered the game! Best layout of loads and quick pay without any fees! I hope all other big brokers like TQL will follow the lead and make their loadboard apps the same way!"
2021-02-22 23:36:54,5,GOOD APP
2021-02-20 21:55:22,1,"I drove 150 miles to pickup a load, I get there on time but shipper had cancelled the load on previous day, then Uber gives me a bad rating because they didn't cancel the load like they should have."
2021-02-20 17:15:39,1,There are exactly 0 helpful people when you call and you have to call about EVERYTHING. We even had a load that the company cancelled due to bad weather and they did not inform me it cancelled so drove 150 miles to pick it up and the reciever was closed. Not only that but when we called to tell them it was closed they said wait ... waited 4 hours for someone to figure out how to cancel the load and after 4 phone calls they still said wait.... next day recieved an email asking if we delivered.
2021-02-16 20:54:35,5,Great app for Owner
2021-02-14 00:07:40,5,The app is very straight forward and works well. All the basic information a carrier needs is right there. No nonsense here.
2021-02-11 19:59:30,5,"Best rates you'll find, they don't harras you every 2 hrs, easy to find loads and routes home."
2021-02-11 00:37:03,1,"totally glitchy app. uninstalled several times, still does nothing but crash"
2021-02-09 23:50:21,5,Push button loadboard and no games. Pick and go!
2021-02-09 02:00:18,5,"Uber app is on top of it's game and there rates are good if not better than the rest. Other apps putting bids in I find they always don't want to pay for what the load should pay, cheap freight. We work to hard trying to provide good service to them only to get down played by low rates."
2021-02-08 14:30:25,5,Easy to use app
2021-02-08 01:23:04,5,Great
2021-02-06 01:56:48,1,Last update February 5th you can't even get any loads
2021-02-05 14:04:51,5,Getting better amen
2021-02-03 17:40:53,4,Goog
2021-02-02 22:04:53,1,"So annoying, can't even sign up its so stupid, when I enter my email , its telling me there is a problem with my email...😆 What a joke, .... are you serious.. ??? You are the problem.... I've had this email for 20 years plus and never had an issue so your the problem.. Worst experience ever.... stay away people"
2021-01-31 00:44:47,5,Ease of using and booking loads
2021-01-29 22:49:08,1,Can hardly speak English when you call support and try to make you sit for hours and hours waiting on a pickup number.
2021-01-29 16:06:55,5,Great 👍
2021-01-29 05:09:59,5,Great company to work with
2021-01-27 22:41:25,1,Not sure what'sup with my account. Everytime I log in it says Account Disabled. Waiting for a call back. We'll see. Will change the stars if Uber can figure out how to get me access to my own account.
2021-01-20 19:50:18,4,Very Good Experience for the most part ! The App does Not save Trailer type or City . This needs Fixing ! I hope they will Correct Soon ! User interface is Not that intuitive either . I Hope some Feedback & Reading of Reviews will bring Change ! My Review will be Higher with Improvements ! - Thank You !!!
2021-01-16 05:29:43,1,"The bidding feature is automated to calculate all the variables. Then counters your offer by 5 dollars more. If you don't take the offer, you will have to bid again in 15 min. I say, just leave my offer until someone win. I have other stuff to do."
2021-01-16 03:02:31,1,"You really need to put something in settings to input truck and trailer numbers into, so they aren't calling me for that information!"
2021-01-16 02:30:48,5,Good 👍 job 👏 👍
2021-01-12 23:14:54,3,Not good it doesn't work properly for locations tracking
2021-01-10 06:39:53,1,"I have had the hardest time ever trying to create an account for the last 4 or 5 days and still hasn't been able to do so. I called someone a uber freight about the situation and they weren't any help at all, so I say screw it!😡😡😡 I talked to someone from the hotline and still couldn't help.!"
2021-01-10 00:49:13,3,I was happy working with you Uber freight.but I never understood why I lost my account.why because I made extremely good work ethic professional work. on time pick s up and delivery s.never got explanations why I lost my account.
2021-01-08 15:09:11,5,Outstanding! I love digital brokers. The future is here and Uber Freight is the leader! Way to go!
2021-01-03 17:21:13,5,Excellent.
2021-01-03 13:12:18,5,every one i seeing so for are 100% not like the other shiper . your people act like they know and happy i am here Tk.
2021-01-03 01:56:21,5,Love uber freight
2020-12-25 00:37:52,5,"Uber freight is 1of the best broker to work with, i can see 👀 the place where to pick up and deliver the load before booking the load i wish everyone do the same"
2020-12-21 16:17:55,1,not working
2020-12-19 10:13:31,5,Nice
2020-12-18 23:12:57,5,very laid back working environment
2020-12-18 20:05:31,1,This Company is Trash....Suspended my account for absolutly no reason...TRASH
2020-12-18 17:40:35,5,Easy to use
2020-12-18 11:58:05,5,Good. Would be great to post available trucks
2020-12-14 00:28:41,5,Easier than any load app and the rates are far better! Thanks Uber for making my life easier and my business successful!
2020-12-13 22:18:30,5,Nice app for loads
2020-12-12 05:06:49,3,Sometimes worth it 👌
2020-12-10 20:17:03,5,Great app
2020-12-02 19:46:35,5,Good really good
2020-12-02 16:19:06,1,Not good will not call you back and let you know updates on your load I called them 8 times about a delivery # and no call back stayed there 13 hours to get unloaded now there playing with my detection money. Management would not call or tell me anything so unprofessional ☹😤
2020-12-01 12:21:02,5,Easy to use and get detention if detained
2020-11-29 00:39:37,1,"Lowering freight prices, don't join."
2020-11-28 13:24:35,1,"Uber never pay for detention, many times i have been waiting over 5 hours to get loaded and presened my paperwork a d uber always got an reason for not paying, el this month i book a load and when i get to pick up place the load was given to some else before me and they pay for my time waisted , be carfull if you want to haul for this company ."
2020-11-27 03:48:46,5,Always have excellent rates. User friendly. Pays quickly and provides load tracking. I love everything that Uber does to provide good income for everyone!
2020-11-25 11:56:15,5,Good
2020-11-25 02:17:46,5,I happy to work with Uber.
2020-11-22 15:41:53,5,"Always plenty of work, very professional, very supportive. Very fair rates on the freight."
2020-11-20 17:14:46,5,The best brokers great service...
2020-11-20 11:56:02,5,"Good app, load prices are up to pare 👌 with its competitors and sometimes even better they try to resolve issues in a timely manner."
2020-11-20 03:51:11,5,Searching loads its way fast and easy..by A.R
2020-11-20 00:32:58,5,For the 1st time using great info and great help when needed!!!👍👍👍
2020-11-19 05:45:07,5,Doing good job
2020-11-17 17:16:37,5,Uber experience is amazing 💝
2020-11-17 15:31:29,1,Don't have option to book load All settings good Nobody from Uber able to help to make it work
2020-11-17 14:24:41,5,"Detention always gets paid, unlike some other companies."
2020-11-15 18:03:36,5,You have to be ready and get a good rate
2020-11-15 08:14:44,5,Good so far agreat pay for loads
2020-11-15 01:37:21,5,Awesome experience
2020-11-14 10:14:43,5,Does Uber Freight post/assign loads for box trucks?
2020-11-14 07:46:29,5,Excellent
2020-11-13 15:11:37,1,Dont see rates on the app... Crazy....
2020-11-13 12:34:56,5,I Wish Amazon was like that..Great customer support and app user friendly..
2020-11-12 18:41:24,5,Nice
2020-11-09 23:00:29,5,It's a wonderful app. Everything is just right.
2020-11-09 22:22:06,5,Good
2020-11-08 15:56:04,5,"Is a great Experience working for a reliable company. That pays twice a week. And rates are working for me. Driving local. I just want the detention, Tonu and overlay to go back the way the were before. Because we are busy now and we need to put pressure on the unloading side."
2020-11-08 00:16:36,1,Stealing my detention
2020-11-04 16:12:46,5,Good rates
2020-11-04 14:57:18,5,gucci
2020-11-02 11:38:48,5,"Not a bad app, but Can you guys add fingerprint log in. And have the app rotate when using a tablet. Thanks."
2020-11-01 19:39:55,5,Seamless.
2020-11-01 12:28:01,5,Very good
2020-11-01 03:21:13,1,"Costumer service out of USA, never help , bad English, bad connection"
2020-10-31 17:21:37,5,"Works great, very easy ..rate is not to bad"
2020-10-30 17:29:00,5,Awesome
2020-10-29 11:51:37,5,Good
2020-10-28 02:16:29,1,Worst company ever!!!! These loosers will not get another run from me!!!!!
2020-10-26 13:23:41,4,"Great app, would be 5 stars but still have problems getting paid detention. Wish they would send you a new rate con with the detention added."
2020-10-26 13:16:48,3,It your asking your self why app keep closing on you? It's because they are trying to force you to update which brings you to a much bigger headache. Sooo many changes like no booking ahead no more reload options available in other words they want to to book not knowing what you getting your self in coming out.. Not smart thing to do.. Good luck
2020-10-26 12:10:58,1,Terrible this compnay doesn't care about anyone but their self and their bottom line. They will fight dentetion even when they know the customer is wrong. Arrived at the customers onetime then had to sit almost for 18 hours only to be told send in proof of time when the customer wouldn't put it in on the sheet. Then get to the reciever and going to have to wait another 20 hours to get unloaded when the compnay stated that uber never called to make a new appointment. Now no response
2020-10-22 21:23:30,1,"Wow, this sucks do not update your app, unable to book loads in advance. Thought Uber actually would start making money. Looks like they need to fix the update"
2020-10-22 18:52:58,5,Uber always pick up phone calls fast.
2020-10-22 14:36:55,1,"Uber going downhill? Use to be ok, lately the app is freezing or just restarts for no reason. The location is sometime way off. Also, not sure if it's the system, some kind of software or an actual person doing the load pairing for multiple days but so.e of those loads do not make any sense unless Uber isn't considering hours of service rules. Take a look at JB Hunts app, they have it mostly figured out but not completely. Convoy isn't too bad either."
2020-10-16 13:51:43,1,They not pay detention anymore
2020-10-15 22:19:01,5,Good job
