at,score,content
2023-03-29 16:10:16,1,"Apparently people in this country can't read fuel prices or do basic math. I see $4.53 per gallon and we get around 5 miles per gallon. So that's about .95 cents per mile. Which does NOT include insurance, maintenance, taxes or contracts. So if your paying $1.25 per mile and it costs .95 cents a mile to move we only have .30 cents per mile for maintenance, insurance, taxes and contracts."
2023-03-20 11:02:56,1,No long needed
2023-03-16 20:23:58,1,Not friendly to use won't let you apply information
2023-03-15 14:22:10,1,It don't keep tracking it don't stay linked
2023-03-10 05:43:46,1,"Very cheap freights and heavy loads, maintenance, fuel and insurance are so expensive. DON'T TAKE CHEAP FREIGHTS."
2023-03-05 17:04:11,5,Nice application very easy to find it loads and quickly get pay
2023-03-01 02:51:05,5,"I love the fact got aasked for my opinion simply because this is an amazing travel app and easy to use for you, yourself, as well as a travel car app to use amonsgt family, especially if you have smaller babies (kids) or bigger or elderly children or should i say pre-teens. Lol, literally i love using this app. Its fast cheap, convenient and easy for me and my family as well as their kids and their friends and so-on-so-on. Thanks for being of great use and services to me & my close family & ETC."
2023-02-28 22:53:31,5,Convenient
2023-02-26 22:40:28,2,Another jb hunt.
2023-02-22 17:26:28,5,Satisfied
2023-02-22 09:32:47,1,Cheap loads. They Never accept bids
2023-02-21 06:03:15,1,I can never get the app to load. Keep saying error and I get a black screen
2023-02-20 14:59:20,2,Rates yo low
2023-02-15 15:26:47,5,Simple to use
2023-02-14 12:58:55,1,Over20 hrs can't login in u can't fix so losing monies this app is no good
2023-02-13 17:14:35,5,Great experience
2023-02-09 00:29:03,1,You had one of the best apps and ypu had to change it. The new interface is terrible. It gets stuck with loading loads and i have to restart the app. Bring me back the old app
2023-02-05 10:04:36,4,Very good
2023-02-02 19:00:49,2,"Latest update isn't showing any loads. Search preferences reset after an hour. Clearing system cache fixes the issue sometimes, and other times, multiple cache clearing is required for a temporary fix. Problems most often happen after phone reboot."
2023-02-01 22:49:26,5,"Easy booking, bidding allowed."
2023-02-01 06:52:28,5,"Experience has been good so far. Easy to communicate with and even though I have voiced some opinions they still works with me. Overall I'm good with working with Uber Freight. I apologize, I didn't know this feedback was for Google. I thought this was one of the monthly feedbacks they usually send. But we got it done. Furthermore, I have had issues before and they worked with me on any of my issues. I have a good relationship with Uber Freight. I really don't have any complaints."
2023-01-28 05:06:10,5,The support people are very understanding and will help with any and every problem you come across dealing with uber freight and they pay out with no hesitations best load board sofar
2023-01-27 23:28:38,1,"App is buggy, cannot even log in even though regular uber account works fine."
2023-01-23 17:45:42,1,"If you don't want Uber to take your money, avoid driving for them. They keep withholding carrier funds, request logs in any order to pay the carrier layover, and ask for additional BOL papers that are nonexistent in order to avoid paying the carrier. I have a feeling they are on the verge of bankruptcy. Continue driving for this carrier if you want to get stolen. That's the last time I haul a cargo for them."
2023-01-18 20:27:38,1,Literally can do nothing on the app. I sign in and it says there's an error. Done this one multiple devices with the same result.
2023-01-16 14:31:06,5,Nice app to find your load
2023-01-15 06:58:36,2,"Damn low rates. You can get better rates on the loadboard. Only good thing about this is the ease of use. I used Uber freight 30% of the time as i am a new owner operator and most brokers require 1-3 months of authority. I had a problem yesterday where i had to stay at the shipper waiting for Uber to give me a response on a pickup number. In the end, load was cancelled and i was offered a miserable $150 TONU for 20 hours of waiting. Im Stuck here for the weekend so i asked for more. Regret This"
2023-01-13 23:03:32,5,User friendly everything you need is in the app
2023-01-12 07:52:59,1,Awful
2023-01-11 00:50:45,2,The new app is horrible cluster . Its confusing to read . Just back to the app that's was 2 yrs ago.
2023-01-07 23:37:12,3,3 stars because my app works most of the time but when it start messing up I have to close the app & reopen it. I like hauling for uber freight but the most problem is the rates are so low & fuel is so high if you have a repair issue you just worked a free load. Trucking is starting to really go down hill because of these brokers rates. We keep the world feed & comfortable & stable and barely able to keep to feed ourselves. We are away from our families and still can't afford to live comfortable
2023-01-06 11:26:42,1,Heavy load and Cheap
2023-01-04 20:31:51,5,Pretty easy to use it. Excellent customer service.
2023-01-04 14:36:59,1,"BAD , THEY have very incompetent people working. WASTE of time energies"
2023-01-03 16:27:08,5,Love it!
2022-12-18 15:23:21,1,"Transplace merger made uber freight horrible to work with. Since the merger thr rates are super low, payment is slow now, and less loads. They expect for you to sir on loads for days at a time. Bae merge with trashplace."
2022-12-17 22:28:28,5,Great app for truck drivers
2022-12-17 03:32:48,5,Awesome
2022-12-16 23:33:56,4,it nicet to have
2022-12-12 14:49:53,5,Easy to book the loads and make money
2022-12-10 06:21:51,1,You never speak to the same person twice and there is always a language barrier when you do speak to someone. Not to mention 4-5 calls a day for a status update when they are tracking you! The app/loads are ok sometimes but the service is complete trash.
2022-12-09 01:42:27,5,Good 👍
2022-12-07 22:58:39,5,Nice
